Week;Terminal_origen;recogidas;productoMaestro
2021-06-30;Sincelejo;163;Mensajeria
2021-06-30;Sincelejo;78;Paqueteo 3-5
2021-06-30;Turbaco;1627;Mercancia
2021-06-30;Turbaco;104;Paquetes 1-2
2021-06-30;Turbaco;37;Mensajeria
2021-06-30;Turbaco;26;Paqueteo 3-5
2021-06-30;Yumbo;2185;Mercancia
2021-06-30;Yumbo;750;Paquetes 1-2
2021-06-30;Yumbo;170;Mensajeria
2021-06-30;Yumbo;160;Paqueteo 3-5
2021-06-29;Barranquilla;2051;Mercancia
2021-06-29;Barranquilla;1345;Paquetes 1-2
2021-06-29;Barranquilla;357;Paqueteo 3-5
2021-06-29;Barranquilla;182;Mensajeria
2021-06-29;Bogota;20417;Mercancia
2021-06-29;Bogota;14096;Paquetes 1-2
2021-06-29;Bogota;3964;Paqueteo 3-5
2021-06-29;Bogota;1164;Mensajeria
2021-06-29;Bosconia;97;Mercancia
2021-06-29;Bosconia;95;Paquetes 1-2
2021-06-29;Bosconia;62;Mensajeria
2021-06-29;Bosconia;19;Paqueteo 3-5
2021-06-29;Bucaramanga;805;Paquetes 1-2
2021-06-29;Bucaramanga;740;Mercancia
2021-06-29;Bucaramanga;192;Mensajeria
2021-06-29;Bucaramanga;189;Paqueteo 3-5
2021-06-29;Cienaga;108;Mercancia
2021-06-29;Cienaga;82;Paquetes 1-2
2021-06-29;Cienaga;33;Paqueteo 3-5
2021-06-29;Cienaga;26;Mensajeria
2021-06-29;Cucuta;1216;Paqueteo 3-5
2021-06-29;Cucuta;680;Paquetes 1-2
2021-06-29;Cucuta;479;Mercancia
2021-06-29;Cucuta;54;Mensajeria
2021-06-29;Ibague;311;Mercancia
2021-06-29;Ibague;167;Paquetes 1-2
2021-06-29;Ibague;48;Mensajeria
2021-06-29;Ibague;41;Paqueteo 3-5
2021-06-29;Manizales;802;Mercancia
2021-06-29;Manizales;182;Paquetes 1-2
2021-06-29;Manizales;53;Paqueteo 3-5
2021-06-29;Manizales;32;Mensajeria
2021-06-29;Medellin;11786;Paquetes 1-2
2021-06-29;Medellin;11420;Mercancia
2021-06-29;Medellin;2200;Paqueteo 3-5
2021-06-29;Medellin;748;Mensajeria
2021-06-29;Neiva;199;Mercancia
2021-06-29;Neiva;127;Paquetes 1-2
2021-06-29;Neiva;60;Mensajeria
2021-06-29;Neiva;52;Paqueteo 3-5
2021-06-29;Pasto;141;Paquetes 1-2
2021-06-29;Pasto;132;Mercancia
2021-06-29;Pasto;44;Paqueteo 3-5
2021-06-29;Pasto;43;Mensajeria
2021-06-29;Pereira;1523;Mercancia
2021-06-29;Pereira;623;Paquetes 1-2
2021-06-29;Pereira;160;Mensajeria
2021-06-29;Pereira;144;Paqueteo 3-5
2021-06-29;Sin Terminal;5;Paquetes 1-2
2021-06-29;Sin Terminal;2;Paqueteo 3-5
2021-06-29;Sincelejo;424;Paquetes 1-2
2021-06-29;Sincelejo;318;Mercancia
2021-06-29;Sincelejo;130;Mensajeria
2021-06-29;Sincelejo;65;Paqueteo 3-5
2021-06-29;Turbaco;2420;Mercancia
2021-06-29;Turbaco;495;Paquetes 1-2
2021-06-29;Turbaco;120;Paqueteo 3-5
2021-06-29;Turbaco;116;Mensajeria
2021-06-29;Yumbo;5575;Mercancia
2021-06-29;Yumbo;3805;Paquetes 1-2
2021-06-29;Yumbo;816;Paqueteo 3-5
2021-06-29;Yumbo;411;Mensajeria
2021-06-28;Barranquilla;1561;Mercancia
2021-06-28;Barranquilla;1491;Paquetes 1-2
2021-06-28;Barranquilla;370;Paqueteo 3-5
2021-06-28;Barranquilla;179;Mensajeria
2021-06-28;Bogota;20599;Mercancia
2021-06-28;Bogota;14634;Paquetes 1-2
2021-06-28;Bogota;4081;Paqueteo 3-5
2021-06-28;Bogota;1583;Mensajeria
2021-06-28;Bosconia;106;Paquetes 1-2
2021-06-28;Bosconia;39;Mercancia
2021-06-28;Bosconia;22;Mensajeria
2021-06-28;Bosconia;20;Paqueteo 3-5
2021-06-28;Bucaramanga;810;Paquetes 1-2
2021-06-28;Bucaramanga;616;Mercancia
2021-06-28;Bucaramanga;207;Paqueteo 3-5
2021-06-28;Bucaramanga;176;Mensajeria
2021-06-28;Cienaga;128;Paquetes 1-2
2021-06-28;Cienaga;89;Mercancia
2021-06-28;Cienaga;44;Mensajeria
2021-06-28;Cienaga;22;Paqueteo 3-5
2021-06-28;Cucuta;860;Paqueteo 3-5
2021-06-28;Cucuta;772;Paquetes 1-2
2021-06-28;Cucuta;291;Mercancia
2021-06-28;Cucuta;43;Mensajeria
2021-06-28;Ibague;129;Mercancia
2021-06-28;Ibague;26;Paquetes 1-2
2021-06-28;Ibague;22;Mensajeria
2021-06-28;Ibague;15;Paqueteo 3-5
2021-06-28;Manizales;640;Mercancia
2021-06-28;Manizales;156;Paquetes 1-2
2021-06-28;Manizales;50;Mensajeria
2021-06-28;Manizales;30;Paqueteo 3-5
2021-06-28;Medellin;13350;Paquetes 1-2
2021-06-28;Medellin;11263;Mercancia
2021-06-28;Medellin;2287;Paqueteo 3-5
2021-06-28;Medellin;496;Mensajeria
2021-06-28;Neiva;85;Paquetes 1-2
2021-06-28;Neiva;79;Mercancia
2021-06-28;Neiva;24;Mensajeria
2021-06-28;Neiva;14;Paqueteo 3-5
2021-06-28;Pasto;213;Paquetes 1-2
2021-06-28;Pasto;145;Mercancia
2021-06-28;Pasto;118;Mensajeria
2021-06-28;Pasto;28;Paqueteo 3-5
2021-06-28;Pereira;1148;Mercancia
2021-06-28;Pereira;546;Paquetes 1-2
2021-06-28;Pereira;156;Mensajeria
2021-06-28;Pereira;155;Paqueteo 3-5
2021-06-28;Sin Terminal;19;Mercancia
2021-06-28;Sin Terminal;12;Paquetes 1-2
2021-06-28;Sin Terminal;9;Paqueteo 3-5
2021-06-28;Sincelejo;136;Paquetes 1-2
2021-06-28;Sincelejo;132;Mercancia
2021-06-28;Sincelejo;27;Mensajeria
2021-06-28;Sincelejo;18;Paqueteo 3-5
2021-06-28;Turbaco;555;Mercancia
2021-06-28;Turbaco;287;Paquetes 1-2
2021-06-28;Turbaco;73;Mensajeria
2021-06-28;Turbaco;69;Paqueteo 3-5
2021-06-28;Yumbo;5235;Mercancia
2021-06-28;Yumbo;3673;Paquetes 1-2
2021-06-28;Yumbo;776;Paqueteo 3-5
2021-06-28;Yumbo;382;Mensajeria
2021-06-27;Barranquilla;296;Mercancia
2021-06-27;Barranquilla;185;Paquetes 1-2
2021-06-27;Barranquilla;48;Paqueteo 3-5
2021-06-27;Barranquilla;26;Mensajeria
2021-06-27;Bogota;128;Paquetes 1-2
2021-06-27;Bogota;57;Mercancia
2021-06-27;Bogota;9;Paqueteo 3-5
2021-06-27;Bogota;7;Mensajeria
2021-06-27;Bosconia;9;Paquetes 1-2
2021-06-27;Bosconia;6;Mercancia
2021-06-27;Bosconia;6;Paqueteo 3-5
2021-06-27;Bosconia;3;Mensajeria
2021-06-27;Bucaramanga;55;Paquetes 1-2
2021-06-27;Bucaramanga;44;Mercancia
2021-06-27;Bucaramanga;7;Paqueteo 3-5
2021-06-27;Bucaramanga;3;Mensajeria
2021-06-27;Cienaga;33;Mercancia
2021-06-27;Cienaga;27;Paquetes 1-2
2021-06-27;Cienaga;1;Mensajeria
2021-06-27;Cucuta;146;Paqueteo 3-5
2021-06-27;Cucuta;78;Paquetes 1-2
2021-06-27;Cucuta;46;Mercancia
2021-06-27;Cucuta;2;Mensajeria
2021-06-27;Ibague;75;Paquetes 1-2
2021-06-27;Ibague;34;Mercancia
2021-06-27;Ibague;16;Paqueteo 3-5
2021-06-27;Ibague;9;Mensajeria
2021-06-27;Manizales;89;Mercancia
2021-06-27;Manizales;14;Paquetes 1-2
2021-06-27;Manizales;2;Paqueteo 3-5
2021-06-27;Medellin;340;Paquetes 1-2
2021-06-27;Medellin;164;Mercancia
2021-06-27;Medellin;37;Paqueteo 3-5
2021-06-27;Medellin;9;Mensajeria
2021-06-27;Neiva;18;Paquetes 1-2
2021-06-27;Neiva;17;Mercancia
2021-06-27;Neiva;10;Paqueteo 3-5
2021-06-27;Pasto;17;Paquetes 1-2
2021-06-27;Pasto;11;Paqueteo 3-5
2021-06-27;Pasto;3;Mercancia
2021-06-27;Pasto;1;Mensajeria
2021-06-27;Pereira;134;Mercancia
2021-06-27;Pereira;41;Paquetes 1-2
2021-06-27;Pereira;9;Paqueteo 3-5
2021-06-27;Pereira;4;Mensajeria
2021-06-27;Sincelejo;155;Paquetes 1-2
2021-06-27;Sincelejo;115;Mercancia
2021-06-27;Sincelejo;34;Mensajeria
2021-06-27;Sincelejo;23;Paqueteo 3-5
2021-06-27;Turbaco;230;Mercancia
2021-06-27;Turbaco;75;Paquetes 1-2
2021-06-27;Turbaco;21;Mensajeria
2021-06-27;Turbaco;16;Paqueteo 3-5
2021-06-27;Yumbo;360;Mercancia
2021-06-27;Yumbo;144;Paquetes 1-2
2021-06-27;Yumbo;95;Paqueteo 3-5
2021-06-27;Yumbo;2;Mensajeria
2021-06-26;Barranquilla;2291;Mercancia
2021-06-26;Barranquilla;655;Paquetes 1-2
2021-06-26;Barranquilla;167;Paqueteo 3-5
2021-06-26;Barranquilla;115;Mensajeria
2021-06-26;Bogota;11622;Mercancia
2021-06-26;Bogota;8214;Paquetes 1-2
2021-06-26;Bogota;2165;Paqueteo 3-5
2021-06-26;Bogota;299;Mensajeria
2021-06-26;Bosconia;39;Paquetes 1-2
2021-06-26;Bosconia;37;Mensajeria
2021-06-26;Bosconia;29;Mercancia
2021-06-26;Bosconia;11;Paqueteo 3-5
2021-06-26;Bucaramanga;419;Mercancia
2021-06-26;Bucaramanga;360;Paquetes 1-2
2021-06-26;Bucaramanga;117;Paqueteo 3-5
2021-06-26;Bucaramanga;83;Mensajeria
2021-06-26;Cienaga;129;Mercancia
2021-06-26;Cienaga;97;Paquetes 1-2
2021-06-26;Cienaga;37;Mensajeria
2021-06-26;Cienaga;36;Paqueteo 3-5
2021-06-26;Cucuta;931;Paqueteo 3-5
2021-06-26;Cucuta;509;Paquetes 1-2
2021-06-26;Cucuta;261;Mercancia
2021-06-26;Cucuta;37;Mensajeria
2021-06-26;Ibague;281;Mercancia
2021-06-26;Ibague;222;Paquetes 1-2
2021-06-26;Ibague;73;Paqueteo 3-5
2021-06-26;Ibague;50;Mensajeria
2021-06-26;Manizales;575;Mercancia
2021-06-26;Manizales;96;Paquetes 1-2
2021-06-26;Manizales;31;Mensajeria
2021-06-26;Manizales;25;Paqueteo 3-5
2021-06-26;Medellin;7700;Mercancia
2021-06-26;Medellin;7205;Paquetes 1-2
2021-06-26;Medellin;1456;Paqueteo 3-5
2021-06-26;Medellin;340;Mensajeria
2021-06-26;Neiva;136;Paquetes 1-2
2021-06-26;Neiva;102;Mercancia
2021-06-26;Neiva;43;Mensajeria
2021-06-26;Neiva;42;Paqueteo 3-5
2021-06-26;Pasto;107;Mercancia
2021-06-26;Pasto;56;Paquetes 1-2
2021-06-26;Pasto;14;Mensajeria
2021-06-26;Pasto;14;Paqueteo 3-5
2021-06-26;Pereira;713;Mercancia
2021-06-26;Pereira;334;Paquetes 1-2
2021-06-26;Pereira;95;Paqueteo 3-5
2021-06-26;Pereira;80;Mensajeria
2021-06-26;Sin Terminal;4;Paquetes 1-2
2021-06-26;Sincelejo;296;Paquetes 1-2
2021-06-26;Sincelejo;138;Mercancia
2021-06-26;Sincelejo;112;Mensajeria
2021-06-26;Sincelejo;32;Paqueteo 3-5
2021-06-26;Turbaco;676;Mercancia
2021-06-26;Turbaco;245;Paquetes 1-2
2021-06-26;Turbaco;73;Paqueteo 3-5
2021-06-26;Turbaco;65;Mensajeria
2021-06-26;Yumbo;3240;Mercancia
2021-06-26;Yumbo;2491;Paquetes 1-2
2021-06-26;Yumbo;500;Paqueteo 3-5
2021-06-26;Yumbo;317;Mensajeria
2021-06-25;Barranquilla;1933;Mercancia
2021-06-25;Barranquilla;1466;Paquetes 1-2
2021-06-25;Barranquilla;357;Paqueteo 3-5
2021-06-25;Barranquilla;202;Mensajeria
2021-06-25;Bogota;20742;Mercancia
2021-06-25;Bogota;13606;Paquetes 1-2
2021-06-25;Bogota;4187;Paqueteo 3-5
2021-06-25;Bogota;1101;Mensajeria
2021-06-25;Bosconia;153;Paquetes 1-2
2021-06-25;Bosconia;117;Mercancia
2021-06-25;Bosconia;43;Mensajeria
2021-06-25;Bosconia;30;Paqueteo 3-5
2021-06-25;Bucaramanga;877;Paquetes 1-2
2021-06-25;Bucaramanga;649;Mercancia
2021-06-25;Bucaramanga;195;Paqueteo 3-5
2021-06-25;Bucaramanga;110;Mensajeria
2021-06-25;Cienaga;103;Paquetes 1-2
2021-06-25;Cienaga;80;Mercancia
2021-06-25;Cienaga;24;Mensajeria
2021-06-25;Cienaga;21;Paqueteo 3-5
2021-06-25;Cucuta;632;Paqueteo 3-5
2021-06-25;Cucuta;477;Paquetes 1-2
2021-06-25;Cucuta;177;Mercancia
2021-06-25;Cucuta;83;Mensajeria
2021-06-25;Ibague;148;Paquetes 1-2
2021-06-25;Ibague;122;Mercancia
2021-06-25;Ibague;64;Mensajeria
2021-06-25;Ibague;26;Paqueteo 3-5
2021-06-25;Manizales;677;Mercancia
2021-06-25;Manizales;141;Paquetes 1-2
2021-06-25;Manizales;65;Mensajeria
2021-06-25;Manizales;26;Paqueteo 3-5
2021-06-25;Medellin;12391;Paquetes 1-2
2021-06-25;Medellin;10700;Mercancia
2021-06-25;Medellin;2320;Paqueteo 3-5
2021-06-25;Medellin;919;Mensajeria
2021-06-25;Neiva;159;Paquetes 1-2
2021-06-25;Neiva;135;Mercancia
2021-06-25;Neiva;48;Mensajeria
2021-06-25;Neiva;41;Paqueteo 3-5
2021-06-25;Pasto;166;Paquetes 1-2
2021-06-25;Pasto;144;Mercancia
2021-06-25;Pasto;78;Mensajeria
2021-06-25;Pasto;43;Paqueteo 3-5
2021-06-25;Pereira;1372;Mercancia
2021-06-25;Pereira;516;Paquetes 1-2
2021-06-25;Pereira;173;Mensajeria
2021-06-25;Pereira;153;Paqueteo 3-5
2021-06-25;Sin Terminal;9;Paquetes 1-2
2021-06-25;Sin Terminal;3;Mercancia
2021-06-25;Sin Terminal;3;Paqueteo 3-5
2021-06-25;Sin Terminal;1;Mensajeria
2021-06-25;Sincelejo;518;Paquetes 1-2
2021-06-25;Sincelejo;358;Mercancia
2021-06-25;Sincelejo;131;Mensajeria
2021-06-25;Sincelejo;78;Paqueteo 3-5
2021-06-25;Turbaco;655;Mercancia
2021-06-25;Turbaco;332;Paquetes 1-2
2021-06-25;Turbaco;88;Mensajeria
2021-06-25;Turbaco;78;Paqueteo 3-5
2021-06-25;Yumbo;6228;Mercancia
2021-06-25;Yumbo;3845;Paquetes 1-2
2021-06-25;Yumbo;654;Paqueteo 3-5
2021-06-25;Yumbo;468;Mensajeria
2021-06-24;Barranquilla;2272;Mercancia
2021-06-24;Barranquilla;1417;Paquetes 1-2
2021-06-24;Barranquilla;393;Paqueteo 3-5
2021-06-24;Barranquilla;259;Mensajeria
2021-06-24;Bogota;19834;Mercancia
2021-06-24;Bogota;13825;Paquetes 1-2
2021-06-24;Bogota;3618;Paqueteo 3-5
2021-06-24;Bogota;1115;Mensajeria
2021-06-24;Bosconia;71;Mercancia
2021-06-24;Bosconia;42;Mensajeria
2021-06-24;Bosconia;42;Paquetes 1-2
2021-06-24;Bosconia;23;Paqueteo 3-5
2021-06-24;Bucaramanga;760;Paquetes 1-2
2021-06-24;Bucaramanga;589;Mercancia
2021-06-24;Bucaramanga;203;Paqueteo 3-5
2021-06-24;Bucaramanga;145;Mensajeria
2021-06-24;Cienaga;143;Mercancia
2021-06-24;Cienaga;138;Paquetes 1-2
2021-06-24;Cienaga;49;Mensajeria
2021-06-24;Cienaga;27;Paqueteo 3-5
2021-06-24;Cucuta;702;Paqueteo 3-5
2021-06-24;Cucuta;439;Paquetes 1-2
2021-06-24;Cucuta;235;Mercancia
2021-06-24;Cucuta;39;Mensajeria
2021-06-24;Ibague;98;Mercancia
2021-06-24;Ibague;72;Paquetes 1-2
2021-06-24;Ibague;39;Paqueteo 3-5
2021-06-24;Ibague;5;Mensajeria
2021-06-24;Manizales;544;Mercancia
2021-06-24;Manizales;187;Paquetes 1-2
2021-06-24;Manizales;55;Mensajeria
2021-06-24;Manizales;30;Paqueteo 3-5
2021-06-24;Medellin;15911;Paquetes 1-2
2021-06-24;Medellin;11202;Mercancia
2021-06-24;Medellin;2533;Paqueteo 3-5
2021-06-24;Medellin;739;Mensajeria
2021-06-24;Neiva;95;Mercancia
2021-06-24;Neiva;86;Paquetes 1-2
2021-06-24;Neiva;48;Mensajeria
2021-06-24;Neiva;21;Paqueteo 3-5
2021-06-24;Pasto;254;Paquetes 1-2
2021-06-24;Pasto;164;Mercancia
2021-06-24;Pasto;95;Mensajeria
2021-06-24;Pasto;42;Paqueteo 3-5
2021-06-24;Pereira;2293;Mercancia
2021-06-24;Pereira;502;Paquetes 1-2
2021-06-24;Pereira;191;Mensajeria
2021-06-24;Pereira;163;Paqueteo 3-5
2021-06-24;Sin Terminal;5;Paquetes 1-2
2021-06-24;Sin Terminal;4;Paqueteo 3-5
2021-06-24;Sin Terminal;3;Mercancia
2021-06-24;Sincelejo;329;Paquetes 1-2
2021-06-24;Sincelejo;239;Mercancia
2021-06-24;Sincelejo;84;Paqueteo 3-5
2021-06-24;Sincelejo;78;Mensajeria
2021-06-24;Turbaco;526;Mercancia
2021-06-24;Turbaco;349;Paquetes 1-2
2021-06-24;Turbaco;112;Paqueteo 3-5
2021-06-24;Turbaco;69;Mensajeria
2021-06-24;Yumbo;7106;Mercancia
2021-06-24;Yumbo;3857;Paquetes 1-2
2021-06-24;Yumbo;838;Paqueteo 3-5
2021-06-24;Yumbo;491;Mensajeria
2021-06-23;Barranquilla;2072;Mercancia
2021-06-23;Barranquilla;1590;Paquetes 1-2
2021-06-23;Barranquilla;316;Paqueteo 3-5
2021-06-23;Barranquilla;315;Mensajeria
2021-06-23;Bogota;20103;Mercancia
2021-06-23;Bogota;13374;Paquetes 1-2
2021-06-23;Bogota;4292;Paqueteo 3-5
2021-06-23;Bogota;1353;Mensajeria
2021-06-23;Bosconia;121;Paquetes 1-2
2021-06-23;Bosconia;108;Mercancia
2021-06-23;Bosconia;46;Mensajeria
2021-06-23;Bosconia;33;Paqueteo 3-5
2021-06-23;Bucaramanga;749;Paquetes 1-2
2021-06-23;Bucaramanga;665;Mercancia
2021-06-23;Bucaramanga;210;Paqueteo 3-5
2021-06-23;Bucaramanga;200;Mensajeria
2021-06-23;Cienaga;150;Paquetes 1-2
2021-06-23;Cienaga;142;Mercancia
2021-06-23;Cienaga;38;Mensajeria
2021-06-23;Cienaga;32;Paqueteo 3-5
2021-06-23;Cucuta;828;Paqueteo 3-5
2021-06-23;Cucuta;514;Paquetes 1-2
2021-06-23;Cucuta;247;Mercancia
2021-06-23;Cucuta;48;Mensajeria
2021-06-23;Ibague;176;Mercancia
2021-06-23;Ibague;167;Paquetes 1-2
2021-06-23;Ibague;77;Mensajeria
2021-06-23;Ibague;30;Paqueteo 3-5
2021-06-23;Manizales;569;Mercancia
2021-06-23;Manizales;160;Paquetes 1-2
2021-06-23;Manizales;76;Mensajeria
2021-06-23;Manizales;28;Paqueteo 3-5
2021-06-23;Medellin;13450;Paquetes 1-2
2021-06-23;Medellin;11048;Mercancia
2021-06-23;Medellin;2112;Paqueteo 3-5
2021-06-23;Medellin;733;Mensajeria
2021-06-23;Neiva;238;Paquetes 1-2
2021-06-23;Neiva;184;Mercancia
2021-06-23;Neiva;60;Mensajeria
2021-06-23;Neiva;51;Paqueteo 3-5
2021-06-23;Pasto;187;Paquetes 1-2
2021-06-23;Pasto;113;Mercancia
2021-06-23;Pasto;43;Paqueteo 3-5
2021-06-23;Pasto;37;Mensajeria
2021-06-23;Pereira;1271;Mercancia
2021-06-23;Pereira;530;Paquetes 1-2
2021-06-23;Pereira;210;Paqueteo 3-5
2021-06-23;Pereira;205;Mensajeria
2021-06-23;Sincelejo;476;Paquetes 1-2
2021-06-23;Sincelejo;359;Mercancia
2021-06-23;Sincelejo;106;Mensajeria
2021-06-23;Sincelejo;95;Paqueteo 3-5
2021-06-23;Turbaco;649;Mercancia
2021-06-23;Turbaco;452;Paquetes 1-2
2021-06-23;Turbaco;107;Paqueteo 3-5
2021-06-23;Turbaco;89;Mensajeria
2021-06-23;Yumbo;6140;Mercancia
2021-06-23;Yumbo;3389;Paquetes 1-2
2021-06-23;Yumbo;816;Paqueteo 3-5
2021-06-23;Yumbo;450;Mensajeria
2021-06-22;Barranquilla;1955;Mercancia
2021-06-22;Barranquilla;1387;Paquetes 1-2
2021-06-22;Barranquilla;334;Mensajeria
2021-06-22;Barranquilla;322;Paqueteo 3-5
2021-06-22;Bogota;21662;Mercancia
2021-06-22;Bogota;14318;Paquetes 1-2
2021-06-22;Bogota;4377;Paqueteo 3-5
2021-06-22;Bogota;1422;Mensajeria
2021-06-22;Bosconia;35;Paquetes 1-2
2021-06-22;Bosconia;23;Mensajeria
2021-06-22;Bosconia;20;Mercancia
2021-06-22;Bosconia;14;Paqueteo 3-5
2021-06-22;Bucaramanga;663;Mercancia
2021-06-22;Bucaramanga;659;Paquetes 1-2
2021-06-22;Bucaramanga;200;Paqueteo 3-5
2021-06-22;Bucaramanga;135;Mensajeria
2021-06-22;Cienaga;123;Mercancia
2021-06-22;Cienaga;104;Paquetes 1-2
2021-06-22;Cienaga;60;Mensajeria
2021-06-22;Cienaga;41;Paqueteo 3-5
2021-06-22;Cucuta;1209;Paqueteo 3-5
2021-06-22;Cucuta;609;Paquetes 1-2
2021-06-22;Cucuta;322;Mercancia
2021-06-22;Cucuta;56;Mensajeria
2021-06-22;Ibague;255;Paquetes 1-2
2021-06-22;Ibague;251;Mercancia
2021-06-22;Ibague;74;Mensajeria
2021-06-22;Ibague;70;Paqueteo 3-5
2021-06-22;Manizales;1005;Mercancia
2021-06-22;Manizales;157;Paquetes 1-2
2021-06-22;Manizales;49;Mensajeria
2021-06-22;Manizales;33;Paqueteo 3-5
2021-06-22;Medellin;17371;Paquetes 1-2
2021-06-22;Medellin;10982;Mercancia
2021-06-22;Medellin;2459;Paqueteo 3-5
2021-06-22;Medellin;644;Mensajeria
2021-06-22;Neiva;118;Paquetes 1-2
2021-06-22;Neiva;89;Mercancia
2021-06-22;Neiva;48;Paqueteo 3-5
2021-06-22;Neiva;44;Mensajeria
2021-06-22;Pasto;142;Mercancia
2021-06-22;Pasto;125;Mensajeria
2021-06-22;Pasto;106;Paquetes 1-2
2021-06-22;Pasto;53;Paqueteo 3-5
2021-06-22;Pereira;1440;Mercancia
2021-06-22;Pereira;622;Paquetes 1-2
2021-06-22;Pereira;155;Paqueteo 3-5
2021-06-22;Pereira;151;Mensajeria
2021-06-22;Sincelejo;293;Paquetes 1-2
2021-06-22;Sincelejo;187;Mercancia
2021-06-22;Sincelejo;109;Mensajeria
2021-06-22;Sincelejo;55;Paqueteo 3-5
2021-06-22;Turbaco;1349;Mercancia
2021-06-22;Turbaco;349;Paquetes 1-2
2021-06-22;Turbaco;102;Paqueteo 3-5
2021-06-22;Turbaco;87;Mensajeria
2021-06-22;Yumbo;6869;Mercancia
2021-06-22;Yumbo;3483;Paquetes 1-2
2021-06-22;Yumbo;889;Paqueteo 3-5
2021-06-22;Yumbo;473;Mensajeria
2021-06-21;Barranquilla;1753;Paquetes 1-2
2021-06-21;Barranquilla;1669;Mercancia
2021-06-21;Barranquilla;374;Paqueteo 3-5
2021-06-21;Barranquilla;148;Mensajeria
2021-06-21;Bogota;20535;Mercancia
2021-06-21;Bogota;15236;Paquetes 1-2
2021-06-21;Bogota;4665;Paqueteo 3-5
2021-06-21;Bogota;1606;Mensajeria
2021-06-21;Bosconia;55;Mercancia
2021-06-21;Bosconia;52;Paquetes 1-2
2021-06-21;Bosconia;17;Mensajeria
2021-06-21;Bosconia;7;Paqueteo 3-5
2021-06-21;Bucaramanga;805;Paquetes 1-2
2021-06-21;Bucaramanga;708;Mercancia
2021-06-21;Bucaramanga;259;Paqueteo 3-5
2021-06-21;Bucaramanga;219;Mensajeria
2021-06-21;Cienaga;93;Paquetes 1-2
2021-06-21;Cienaga;69;Mercancia
2021-06-21;Cienaga;23;Paqueteo 3-5
2021-06-21;Cienaga;15;Mensajeria
2021-06-21;Cucuta;680;Paquetes 1-2
2021-06-21;Cucuta;630;Paqueteo 3-5
2021-06-21;Cucuta;218;Mercancia
2021-06-21;Cucuta;51;Mensajeria
2021-06-21;Ibague;133;Mercancia
2021-06-21;Ibague;70;Paquetes 1-2
2021-06-21;Ibague;44;Paqueteo 3-5
2021-06-21;Ibague;4;Mensajeria
2021-06-21;Manizales;743;Mercancia
2021-06-21;Manizales;169;Paquetes 1-2
2021-06-21;Manizales;64;Mensajeria
2021-06-21;Manizales;50;Paqueteo 3-5
2021-06-21;Medellin;17088;Paquetes 1-2
2021-06-21;Medellin;11255;Mercancia
2021-06-21;Medellin;2448;Paqueteo 3-5
2021-06-21;Medellin;640;Mensajeria
2021-06-21;Neiva;144;Mercancia
2021-06-21;Neiva;86;Paquetes 1-2
2021-06-21;Neiva;59;Mensajeria
2021-06-21;Neiva;48;Paqueteo 3-5
2021-06-21;Pasto;82;Mercancia
