Week;Producto;Terminal_origen;recogidas
2017-01-23;Firma de Documentos;Sincelejo;133
2017-01-23;Mensajeria;Sincelejo;591
2017-01-23;Mercancia;Sincelejo;1242
2017-01-23;Paqueteo 3-5 Kl.;Sincelejo;216
2017-01-23;Paquetes 1-2 Kl. (ME);Sincelejo;222
2017-01-23;Radicación de Documentos;Sincelejo;219
2017-01-23;Firma de Documentos;Turbaco;164
2017-01-23;Mensajeria;Turbaco;905
2017-01-23;Mercancia;Turbaco;5758
2017-01-23;Mercancia Aerea;Turbaco;5
2017-01-23;Paqueteo 3-5 Kl.;Turbaco;270
2017-01-23;Paquetes 1-2 Kl. (ME);Turbaco;391
2017-01-23;Radicación de Documentos;Turbaco;209
2017-01-23;Firma de Documentos;Yumbo;560
2017-01-23;Mensajeria;Yumbo;3006
2017-01-23;Mercancia;Yumbo;44958
2017-01-23;Mercancia Aerea;Yumbo;45
2017-01-23;Paqueteo 3-5 Kl.;Yumbo;1274
2017-01-23;Paquetes 1-2 Kl. (ME);Yumbo;2434
2017-01-23;Radicación de Documentos;Yumbo;792
2017-01-30;Firma de Documentos;Barranquilla;260
2017-01-30;Mensajeria;Barranquilla;1637
2017-01-30;Mercancia;Barranquilla;8937
2017-01-30;Mercancia Aerea;Barranquilla;3
2017-01-30;Paqueteo 3-5 Kl.;Barranquilla;975
2017-01-30;Paquetes 1-2 Kl. (ME);Barranquilla;1308
2017-01-30;Radicación de Documentos;Barranquilla;722
2017-01-30;Firma de Documentos;Bogota;1053
2017-01-30;Mensajeria;Bogota;7904
2017-01-30;Mercancia;Bogota;120085
2017-01-30;Mercancia Aerea;Bogota;275
2017-01-30;Paqueteo 3-5 Kl.;Bogota;5054
2017-01-30;Paquetes 1-2 Kl. (ME);Bogota;7392
2017-01-30;Radicación de Documentos;Bogota;1917
2017-01-30;Firma de Documentos;Bucaramanga;247
2017-01-30;Mensajeria;Bucaramanga;960
2017-01-30;Mercancia;Bucaramanga;4127
2017-01-30;Mercancia Aerea;Bucaramanga;3
2017-01-30;Paqueteo 3-5 Kl.;Bucaramanga;314
2017-01-30;Paquetes 1-2 Kl. (ME);Bucaramanga;583
2017-01-30;Radicación de Documentos;Bucaramanga;454
2017-01-30;Firma de Documentos;Cucuta;52
2017-01-30;Mensajeria;Cucuta;202
2017-01-30;Mercancia;Cucuta;1024
2017-01-30;Paqueteo 3-5 Kl.;Cucuta;108
2017-01-30;Paquetes 1-2 Kl. (ME);Cucuta;154
2017-01-30;Radicación de Documentos;Cucuta;130
2017-01-30;Firma de Documentos;Ibague;72
2017-01-30;Mensajeria;Ibague;503
2017-01-30;Mercancia;Ibague;2021
2017-01-30;Paqueteo 3-5 Kl.;Ibague;189
2017-01-30;Paquetes 1-2 Kl. (ME);Ibague;138
2017-01-30;Radicación de Documentos;Ibague;299
2017-01-30;Firma de Documentos;Manizales;28
2017-01-30;Mensajeria;Manizales;323
2017-01-30;Mercancia;Manizales;9331
2017-01-30;Paqueteo 3-5 Kl.;Manizales;66
2017-01-30;Paquetes 1-2 Kl. (ME);Manizales;105
2017-01-30;Radicación de Documentos;Manizales;133
2017-01-30;Firma de Documentos;Medellin;1085
2017-01-30;Mensajeria;Medellin;7626
2017-01-30;Mercancia;Medellin;65828
2017-01-30;Mercancia Aerea;Medellin;26
2017-01-30;Paqueteo 3-5 Kl.;Medellin;4100
2017-01-30;Paquetes 1-2 Kl. (ME);Medellin;12558
2017-01-30;Radicación de Documentos;Medellin;984
2017-01-30;Firma de Documentos;Pasto;28
2017-01-30;Mensajeria;Pasto;231
2017-01-30;Mercancia;Pasto;735
2017-01-30;Paqueteo 3-5 Kl.;Pasto;75
2017-01-30;Paquetes 1-2 Kl. (ME);Pasto;81
2017-01-30;Radicación de Documentos;Pasto;120
2017-01-30;Firma de Documentos;Pereira;178
2017-01-30;Mensajeria;Pereira;1308
2017-01-30;Mercancia;Pereira;11935
2017-01-30;Paqueteo 3-5 Kl.;Pereira;292
2017-01-30;Paquetes 1-2 Kl. (ME);Pereira;736
2017-01-30;Radicación de Documentos;Pereira;373
2017-01-30;Firma de Documentos;Sincelejo;94
2017-01-30;Mensajeria;Sincelejo;787
2017-01-30;Mercancia;Sincelejo;1251
2017-01-30;Mercancia Aerea;Sincelejo;1
2017-01-30;Paqueteo 3-5 Kl.;Sincelejo;237
2017-01-30;Paquetes 1-2 Kl. (ME);Sincelejo;271
2017-01-30;Radicación de Documentos;Sincelejo;268
2017-01-30;Firma de Documentos;Turbaco;128
2017-01-30;Mensajeria;Turbaco;898
2017-01-30;Mercancia;Turbaco;2828
2017-01-30;Mercancia Aerea;Turbaco;1
2017-01-30;Paqueteo 3-5 Kl.;Turbaco;206
2017-01-30;Paquetes 1-2 Kl. (ME);Turbaco;393
2017-01-30;Radicación de Documentos;Turbaco;227
2017-01-30;Firma de Documentos;Yumbo;527
2017-01-30;Mensajeria;Yumbo;3414
2017-01-30;Mercancia;Yumbo;38731
2017-01-30;Mercancia Aerea;Yumbo;25
2017-01-30;Paqueteo 3-5 Kl.;Yumbo;1197
2017-01-30;Paquetes 1-2 Kl. (ME);Yumbo;2360
2017-01-30;Radicación de Documentos;Yumbo;807
2017-02-06;Firma de Documentos;Barranquilla;245
2017-02-06;Mensajeria;Barranquilla;1964
2017-02-06;Mercancia;Barranquilla;11357
2017-02-06;Mercancia Aerea;Barranquilla;10
2017-02-06;Paqueteo 3-5 Kl.;Barranquilla;984
2017-02-06;Paquetes 1-2 Kl. (ME);Barranquilla;1421
2017-02-06;Radicación de Documentos;Barranquilla;670
2017-02-06;Firma de Documentos;Bogota;1301
2017-02-06;Mensajeria;Bogota;9037
2017-02-06;Mercancia;Bogota;127542
2017-02-06;Mercancia Aerea;Bogota;274
2017-02-06;Paqueteo 3-5 Kl.;Bogota;4578
2017-02-06;Paquetes 1-2 Kl. (ME);Bogota;8748
2017-02-06;Radicación de Documentos;Bogota;1684
2017-02-06;Firma de Documentos;Bucaramanga;192
2017-02-06;Mensajeria;Bucaramanga;878
2017-02-06;Mercancia;Bucaramanga;4162
2017-02-06;Paqueteo 3-5 Kl.;Bucaramanga;374
2017-02-06;Paquetes 1-2 Kl. (ME);Bucaramanga;569
2017-02-06;Radicación de Documentos;Bucaramanga;493
2017-02-06;Firma de Documentos;Cucuta;47
2017-02-06;Mensajeria;Cucuta;186
2017-02-06;Mercancia;Cucuta;950
2017-02-06;Paqueteo 3-5 Kl.;Cucuta;143
2017-02-06;Paquetes 1-2 Kl. (ME);Cucuta;335
2017-02-06;Radicación de Documentos;Cucuta;154
2017-02-06;Firma de Documentos;Ibague;77
2017-02-06;Mensajeria;Ibague;434
2017-02-06;Mercancia;Ibague;2488
2017-02-06;Mercancia Aerea;Ibague;1
2017-02-06;Paqueteo 3-5 Kl.;Ibague;179
2017-02-06;Paquetes 1-2 Kl. (ME);Ibague;174
2017-02-06;Radicación de Documentos;Ibague;314
2017-02-06;Firma de Documentos;Manizales;59
2017-02-06;Mensajeria;Manizales;245
2017-02-06;Mercancia;Manizales;9840
2017-02-06;Paqueteo 3-5 Kl.;Manizales;349
2017-02-06;Paquetes 1-2 Kl. (ME);Manizales;126
2017-02-06;Radicación de Documentos;Manizales;143
2017-02-06;Firma de Documentos;Medellin;1135
2017-02-06;Mensajeria;Medellin;7190
2017-02-06;Mercancia;Medellin;70477
2017-02-06;Mercancia Aerea;Medellin;18
2017-02-06;Paqueteo 3-5 Kl.;Medellin;4822
2017-02-06;Paquetes 1-2 Kl. (ME);Medellin;11367
2017-02-06;Radicación de Documentos;Medellin;882
2017-02-06;Firma de Documentos;Pasto;29
2017-02-06;Mensajeria;Pasto;202
2017-02-06;Mercancia;Pasto;1208
2017-02-06;Paqueteo 3-5 Kl.;Pasto;69
2017-02-06;Paquetes 1-2 Kl. (ME);Pasto;65
2017-02-06;Radicación de Documentos;Pasto;124
2017-02-06;Firma de Documentos;Pereira;209
2017-02-06;Mensajeria;Pereira;1208
2017-02-06;Mercancia;Pereira;13492
2017-02-06;Paqueteo 3-5 Kl.;Pereira;284
2017-02-06;Paquetes 1-2 Kl. (ME);Pereira;837
2017-02-06;Radicación de Documentos;Pereira;361
2017-02-06;Firma de Documentos;Sincelejo;93
2017-02-06;Mensajeria;Sincelejo;762
2017-02-06;Mercancia;Sincelejo;1498
2017-02-06;Mercancia Aerea;Sincelejo;3
2017-02-06;Paqueteo 3-5 Kl.;Sincelejo;247
2017-02-06;Paquetes 1-2 Kl. (ME);Sincelejo;239
2017-02-06;Radicación de Documentos;Sincelejo;188
2017-02-06;Firma de Documentos;Turbaco;157
2017-02-06;Mensajeria;Turbaco;1029
2017-02-06;Mercancia;Turbaco;5944
2017-02-06;Mercancia Aerea;Turbaco;5
2017-02-06;Paqueteo 3-5 Kl.;Turbaco;242
2017-02-06;Paquetes 1-2 Kl. (ME);Turbaco;362
2017-02-06;Radicación de Documentos;Turbaco;229
2017-02-06;Firma de Documentos;Yumbo;565
2017-02-06;Mensajeria;Yumbo;3242
2017-02-06;Mercancia;Yumbo;41600
2017-02-06;Mercancia Aerea;Yumbo;30
2017-02-06;Paqueteo 3-5 Kl.;Yumbo;1441
2017-02-06;Paquetes 1-2 Kl. (ME);Yumbo;2694
2017-02-06;Radicación de Documentos;Yumbo;759
2017-02-13;Firma de Documentos;Barranquilla;278
2017-02-13;Mensajeria;Barranquilla;1589
2017-02-13;Mercancia;Barranquilla;11302
2017-02-13;Mercancia Aerea;Barranquilla;10
2017-02-13;Paqueteo 3-5 Kl.;Barranquilla;1008
2017-02-13;Paquetes 1-2 Kl. (ME);Barranquilla;1533
2017-02-13;Radicación de Documentos;Barranquilla;745
2017-02-13;Firma de Documentos;Bogota;1234
2017-02-13;Mensajeria;Bogota;7779
2017-02-13;Mercancia;Bogota;134737
2017-02-13;Mercancia Aerea;Bogota;324
2017-02-13;Paqueteo 3-5 Kl.;Bogota;4607
2017-02-13;Paquetes 1-2 Kl. (ME);Bogota;7732
2017-02-13;Radicación de Documentos;Bogota;1820
2017-02-13;Firma de Documentos;Bucaramanga;192
2017-02-13;Mensajeria;Bucaramanga;782
2017-02-13;Mercancia;Bucaramanga;4533
2017-02-13;Paqueteo 3-5 Kl.;Bucaramanga;349
2017-02-13;Paquetes 1-2 Kl. (ME);Bucaramanga;659
2017-02-13;Radicación de Documentos;Bucaramanga;434
2017-02-13;Firma de Documentos;Cucuta;53
2017-02-13;Mensajeria;Cucuta;212
2017-02-13;Mercancia;Cucuta;1268
2017-02-13;Paqueteo 3-5 Kl.;Cucuta;135
2017-02-13;Paquetes 1-2 Kl. (ME);Cucuta;265
2017-02-13;Radicación de Documentos;Cucuta;150
2017-02-13;Firma de Documentos;Ibague;95
2017-02-13;Mensajeria;Ibague;433
2017-02-13;Mercancia;Ibague;2604
2017-02-13;Paqueteo 3-5 Kl.;Ibague;170
2017-02-13;Paquetes 1-2 Kl. (ME);Ibague;140
2017-02-13;Radicación de Documentos;Ibague;341
2017-02-13;Firma de Documentos;Manizales;24
2017-02-13;Mensajeria;Manizales;284
2017-02-13;Mercancia;Manizales;6831
2017-02-13;Paqueteo 3-5 Kl.;Manizales;130
2017-02-13;Paquetes 1-2 Kl. (ME);Manizales;114
2017-02-13;Radicación de Documentos;Manizales;144
2017-02-13;Firma de Documentos;Medellin;1030
2017-02-13;Mensajeria;Medellin;6108
2017-02-13;Mercancia;Medellin;60152
2017-02-13;Mercancia Aerea;Medellin;33
2017-02-13;Paqueteo 3-5 Kl.;Medellin;3483
2017-02-13;Paquetes 1-2 Kl. (ME);Medellin;11145
2017-02-13;Radicación de Documentos;Medellin;971
2017-02-13;Firma de Documentos;Pasto;24
2017-02-13;Mensajeria;Pasto;232
2017-02-13;Mercancia;Pasto;788
2017-02-13;Paqueteo 3-5 Kl.;Pasto;61
2017-02-13;Paquetes 1-2 Kl. (ME);Pasto;79
2017-02-13;Radicación de Documentos;Pasto;129
2017-02-13;Firma de Documentos;Pereira;248
2017-02-13;Mensajeria;Pereira;1262
2017-02-13;Mercancia;Pereira;11438
2017-02-13;Mercancia Aerea;Pereira;2
2017-02-13;Paqueteo 3-5 Kl.;Pereira;241
2017-02-13;Paquetes 1-2 Kl. (ME);Pereira;809
2017-02-13;Radicación de Documentos;Pereira;361
2017-02-13;Firma de Documentos;Sincelejo;78
2017-02-13;Mensajeria;Sincelejo;628
2017-02-13;Mercancia;Sincelejo;1720
2017-02-13;Paqueteo 3-5 Kl.;Sincelejo;214
2017-02-13;Paquetes 1-2 Kl. (ME);Sincelejo;260
2017-02-13;Radicación de Documentos;Sincelejo;219
2017-02-13;Firma de Documentos;Turbaco;251
2017-02-13;Mensajeria;Turbaco;968
2017-02-13;Mercancia;Turbaco;9092
2017-02-13;Mercancia Aerea;Turbaco;3
