Week;Producto;Terminal_origen;recogidas
2021-06-28;Mercancia;Turbaco;2980
2021-06-28;Paqueteo 3-5 Kl.;Turbaco;191
2021-06-28;Paquetes 1-2 Kl. (ME);Turbaco;820
2021-06-28;Radicación de Documentos;Turbaco;79
2021-06-28;Firma de Documentos;Yumbo;6
2021-06-28;Mensajeria;Yumbo;601
2021-06-28;Mercancia;Yumbo;10931
2021-06-28;Mercancia Aerea;Yumbo;37
2021-06-28;Paqueteo 3-5 Kl.;Yumbo;1609
2021-06-28;Paquetes 1-2 Kl. (ME);Yumbo;7728
2021-06-28;Radicación de Documentos;Yumbo;253
2021-06-21;Firma de Documentos;Barranquilla;12
2021-06-21;Mensajeria;Barranquilla;936
2021-06-21;Mercancia;Barranquilla;12484
2021-06-21;Mercancia Aerea;Barranquilla;3
2021-06-21;Paqueteo 3-5 Kl.;Barranquilla;1977
2021-06-21;Paquetes 1-2 Kl. (ME);Barranquilla;8453
2021-06-21;Radicación de Documentos;Barranquilla;451
2021-06-21;Firma de Documentos;Bogota;49
2021-06-21;Mensajeria;Bogota;5584
2021-06-21;Mercancia;Bogota;114409
2021-06-21;Mercancia Aerea;Bogota;143
2021-06-21;Paqueteo 3-5 Kl.;Bogota;23313
2021-06-21;Paquetes 1-2 Kl. (ME);Bogota;78712
2021-06-21;Radicación de Documentos;Bogota;1270
2021-06-21;Firma de Documentos;Bosconia;1
2021-06-21;Mensajeria;Bosconia;126
2021-06-21;Mercancia;Bosconia;406
2021-06-21;Paqueteo 3-5 Kl.;Bosconia;124
2021-06-21;Paquetes 1-2 Kl. (ME);Bosconia;451
2021-06-21;Radicación de Documentos;Bosconia;84
2021-06-21;Firma de Documentos;Bucaramanga;1
2021-06-21;Mensajeria;Bucaramanga;375
2021-06-21;Mercancia;Bucaramanga;3737
2021-06-21;Paqueteo 3-5 Kl.;Bucaramanga;1191
2021-06-21;Paquetes 1-2 Kl. (ME);Bucaramanga;4265
2021-06-21;Radicación de Documentos;Bucaramanga;519
2021-06-21;Mensajeria;Cienaga;114
2021-06-21;Mercancia;Cienaga;716
2021-06-21;Paqueteo 3-5 Kl.;Cienaga;180
2021-06-21;Paquetes 1-2 Kl. (ME);Cienaga;712
2021-06-21;Radicación de Documentos;Cienaga;110
2021-06-21;Firma de Documentos;Cucuta;1
2021-06-21;Mensajeria;Cucuta;98
2021-06-21;Mercancia;Cucuta;1506
2021-06-21;Paqueteo 3-5 Kl.;Cucuta;5078
2021-06-21;Paquetes 1-2 Kl. (ME);Cucuta;3306
2021-06-21;Radicación de Documentos;Cucuta;217
2021-06-21;Mensajeria;Ibague;109
2021-06-21;Mercancia;Ibague;1091
2021-06-21;Mercancia Aerea;Ibague;4
2021-06-21;Paqueteo 3-5 Kl.;Ibague;298
2021-06-21;Paquetes 1-2 Kl. (ME);Ibague;1009
2021-06-21;Radicación de Documentos;Ibague;174
2021-06-21;Mensajeria;Manizales;165
2021-06-21;Mercancia;Manizales;4202
2021-06-21;Paqueteo 3-5 Kl.;Manizales;194
2021-06-21;Paquetes 1-2 Kl. (ME);Manizales;925
2021-06-21;Radicación de Documentos;Manizales;175
2021-06-21;Firma de Documentos;Medellin;59
2021-06-21;Mensajeria;Medellin;3081
2021-06-21;Mercancia;Medellin;63009
2021-06-21;Mercancia Aerea;Medellin;35
2021-06-21;Paqueteo 3-5 Kl.;Medellin;13364
2021-06-21;Paquetes 1-2 Kl. (ME);Medellin;83739
2021-06-21;Radicación de Documentos;Medellin;883
2021-06-21;Firma de Documentos;Neiva;1
2021-06-21;Mensajeria;Neiva;133
2021-06-21;Mercancia;Neiva;766
2021-06-21;Paqueteo 3-5 Kl.;Neiva;261
2021-06-21;Paquetes 1-2 Kl. (ME);Neiva;841
2021-06-21;Radicación de Documentos;Neiva;168
2021-06-21;Mensajeria;Pasto;127
2021-06-21;Mercancia;Pasto;751
2021-06-21;Paqueteo 3-5 Kl.;Pasto;221
2021-06-21;Paquetes 1-2 Kl. (ME);Pasto;833
2021-06-21;Radicación de Documentos;Pasto;257
2021-06-21;Firma de Documentos;Pereira;12
2021-06-21;Mensajeria;Pereira;608
2021-06-21;Mercancia;Pereira;9013
2021-06-21;Mercancia Aerea;Pereira;4
2021-06-21;Paqueteo 3-5 Kl.;Pereira;944
2021-06-21;Paquetes 1-2 Kl. (ME);Pereira;3185
2021-06-21;Radicación de Documentos;Pereira;363
2021-06-21;Mensajeria;Sin Terminal;1
2021-06-21;Mercancia;Sin Terminal;6
2021-06-21;Paqueteo 3-5 Kl.;Sin Terminal;7
2021-06-21;Paquetes 1-2 Kl. (ME);Sin Terminal;18
2021-06-21;Firma de Documentos;Sincelejo;5
2021-06-21;Mensajeria;Sincelejo;328
2021-06-21;Mercancia;Sincelejo;1557
2021-06-21;Mercancia Aerea;Sincelejo;2
2021-06-21;Paqueteo 3-5 Kl.;Sincelejo;413
2021-06-21;Paquetes 1-2 Kl. (ME);Sincelejo;2141
2021-06-21;Radicación de Documentos;Sincelejo;239
2021-06-21;Firma de Documentos;Turbaco;6
2021-06-21;Mensajeria;Turbaco;326
2021-06-21;Mercancia;Turbaco;4559
2021-06-21;Mercancia Aerea;Turbaco;6
2021-06-21;Paqueteo 3-5 Kl.;Turbaco;589
2021-06-21;Paquetes 1-2 Kl. (ME);Turbaco;2171
2021-06-21;Radicación de Documentos;Turbaco;190
2021-06-21;Firma de Documentos;Yumbo;39
2021-06-21;Mensajeria;Yumbo;1644
2021-06-21;Mercancia;Yumbo;34200
2021-06-21;Mercancia Aerea;Yumbo;19
2021-06-21;Paqueteo 3-5 Kl.;Yumbo;4478
2021-06-21;Paquetes 1-2 Kl. (ME);Yumbo;20180
2021-06-21;Radicación de Documentos;Yumbo;863
2021-06-14;Firma de Documentos;Barranquilla;10
2021-06-14;Mensajeria;Barranquilla;474
2021-06-14;Mercancia;Barranquilla;10035
2021-06-14;Mercancia Aerea;Barranquilla;10
2021-06-14;Paqueteo 3-5 Kl.;Barranquilla;1680
2021-06-14;Paquetes 1-2 Kl. (ME);Barranquilla;7724
2021-06-14;Radicación de Documentos;Barranquilla;376
2021-06-14;Firma de Documentos;Bogota;46
2021-06-14;Mensajeria;Bogota;5319
2021-06-14;Mercancia;Bogota;99500
2021-06-14;Mercancia Aerea;Bogota;258
2021-06-14;Paqueteo 3-5 Kl.;Bogota;18226
2021-06-14;Paquetes 1-2 Kl. (ME);Bogota;67218
2021-06-14;Radicación de Documentos;Bogota;1257
2021-06-14;Firma de Documentos;Bosconia;2
2021-06-14;Mensajeria;Bosconia;97
2021-06-14;Mercancia;Bosconia;386
2021-06-14;Paqueteo 3-5 Kl.;Bosconia;135
2021-06-14;Paquetes 1-2 Kl. (ME);Bosconia;388
2021-06-14;Radicación de Documentos;Bosconia;97
2021-06-14;Firma de Documentos;Bucaramanga;6
2021-06-14;Mensajeria;Bucaramanga;357
2021-06-14;Mercancia;Bucaramanga;3234
2021-06-14;Paqueteo 3-5 Kl.;Bucaramanga;989
2021-06-14;Paquetes 1-2 Kl. (ME);Bucaramanga;3805
2021-06-14;Radicación de Documentos;Bucaramanga;451
2021-06-14;Firma de Documentos;Cienaga;1
2021-06-14;Mensajeria;Cienaga;109
2021-06-14;Mercancia;Cienaga;467
2021-06-14;Paqueteo 3-5 Kl.;Cienaga;173
2021-06-14;Paquetes 1-2 Kl. (ME);Cienaga;575
2021-06-14;Radicación de Documentos;Cienaga;107
2021-06-14;Firma de Documentos;Cucuta;5
2021-06-14;Mensajeria;Cucuta;83
2021-06-14;Mercancia;Cucuta;1580
2021-06-14;Paqueteo 3-5 Kl.;Cucuta;6116
2021-06-14;Paquetes 1-2 Kl. (ME);Cucuta;3462
2021-06-14;Radicación de Documentos;Cucuta;192
2021-06-14;Mensajeria;Ibague;81
2021-06-14;Mercancia;Ibague;874
2021-06-14;Mercancia Aerea;Ibague;1
2021-06-14;Paqueteo 3-5 Kl.;Ibague;274
2021-06-14;Paquetes 1-2 Kl. (ME);Ibague;770
2021-06-14;Radicación de Documentos;Ibague;125
2021-06-14;Mensajeria;Manizales;138
2021-06-14;Mercancia;Manizales;2901
2021-06-14;Paqueteo 3-5 Kl.;Manizales;156
2021-06-14;Paquetes 1-2 Kl. (ME);Manizales;777
2021-06-14;Radicación de Documentos;Manizales;146
2021-06-14;Firma de Documentos;Medellin;90
2021-06-14;Mensajeria;Medellin;2812
2021-06-14;Mercancia;Medellin;56293
2021-06-14;Mercancia Aerea;Medellin;38
2021-06-14;Paqueteo 3-5 Kl.;Medellin;10684
2021-06-14;Paquetes 1-2 Kl. (ME);Medellin;60861
2021-06-14;Radicación de Documentos;Medellin;744
2021-06-14;Firma de Documentos;Neiva;3
2021-06-14;Mensajeria;Neiva;100
2021-06-14;Mercancia;Neiva;725
2021-06-14;Paqueteo 3-5 Kl.;Neiva;186
2021-06-14;Paquetes 1-2 Kl. (ME);Neiva;488
2021-06-14;Radicación de Documentos;Neiva;168
2021-06-14;Mensajeria;Pasto;109
2021-06-14;Mercancia;Pasto;536
2021-06-14;Paqueteo 3-5 Kl.;Pasto;185
2021-06-14;Paquetes 1-2 Kl. (ME);Pasto;786
2021-06-14;Radicación de Documentos;Pasto;288
2021-06-14;Firma de Documentos;Pereira;11
2021-06-14;Mensajeria;Pereira;477
2021-06-14;Mercancia;Pereira;7408
2021-06-14;Paqueteo 3-5 Kl.;Pereira;725
2021-06-14;Paquetes 1-2 Kl. (ME);Pereira;2988
2021-06-14;Radicación de Documentos;Pereira;387
2021-06-14;Mensajeria;Sin Terminal;1
2021-06-14;Mercancia;Sin Terminal;40
2021-06-14;Paqueteo 3-5 Kl.;Sin Terminal;8
2021-06-14;Paquetes 1-2 Kl. (ME);Sin Terminal;12
2021-06-14;Firma de Documentos;Sincelejo;6
2021-06-14;Mensajeria;Sincelejo;341
2021-06-14;Mercancia;Sincelejo;1226
2021-06-14;Paqueteo 3-5 Kl.;Sincelejo;251
2021-06-14;Paquetes 1-2 Kl. (ME);Sincelejo;1849
2021-06-14;Radicación de Documentos;Sincelejo;216
2021-06-14;Firma de Documentos;Turbaco;23
2021-06-14;Mensajeria;Turbaco;304
2021-06-14;Mercancia;Turbaco;6187
2021-06-14;Mercancia Aerea;Turbaco;5
2021-06-14;Paqueteo 3-5 Kl.;Turbaco;448
2021-06-14;Paquetes 1-2 Kl. (ME);Turbaco;1979
2021-06-14;Radicación de Documentos;Turbaco;162
2021-06-14;Firma de Documentos;Yumbo;23
2021-06-14;Mensajeria;Yumbo;1962
2021-06-14;Mercancia;Yumbo;33004
2021-06-14;Mercancia Aerea;Yumbo;15
2021-06-14;Paqueteo 3-5 Kl.;Yumbo;4301
2021-06-14;Paquetes 1-2 Kl. (ME);Yumbo;19291
2021-06-14;Radicación de Documentos;Yumbo;1092
2021-06-07;Firma de Documentos;Barranquilla;10
2021-06-07;Mensajeria;Barranquilla;942
2021-06-07;Mercancia;Barranquilla;11047
2021-06-07;Mercancia Aerea;Barranquilla;5
2021-06-07;Paqueteo 3-5 Kl.;Barranquilla;1631
2021-06-07;Paquetes 1-2 Kl. (ME);Barranquilla;6962
2021-06-07;Radicación de Documentos;Barranquilla;385
2021-06-07;Firma de Documentos;Bogota;43
2021-06-07;Mensajeria;Bogota;7100
2021-06-07;Mercancia;Bogota;93909
2021-06-07;Mercancia Aerea;Bogota;135
2021-06-07;Paqueteo 3-5 Kl.;Bogota;16134
2021-06-07;Paquetes 1-2 Kl. (ME);Bogota;59228
2021-06-07;Radicación de Documentos;Bogota;922
2021-06-07;Firma de Documentos;Bosconia;1
2021-06-07;Mensajeria;Bosconia;73
2021-06-07;Mercancia;Bosconia;396
2021-06-07;Paqueteo 3-5 Kl.;Bosconia;97
2021-06-07;Paquetes 1-2 Kl. (ME);Bosconia;469
2021-06-07;Radicación de Documentos;Bosconia;103
2021-06-07;Firma de Documentos;Bucaramanga;3
2021-06-07;Mensajeria;Bucaramanga;358
2021-06-07;Mercancia;Bucaramanga;3416
2021-06-07;Mercancia Aerea;Bucaramanga;3
2021-06-07;Paqueteo 3-5 Kl.;Bucaramanga;1008
2021-06-07;Paquetes 1-2 Kl. (ME);Bucaramanga;4036
2021-06-07;Radicación de Documentos;Bucaramanga;441
2021-06-07;Mensajeria;Cienaga;82
2021-06-07;Mercancia;Cienaga;556
2021-06-07;Paqueteo 3-5 Kl.;Cienaga;126
2021-06-07;Paquetes 1-2 Kl. (ME);Cienaga;632
2021-06-07;Radicación de Documentos;Cienaga;62
2021-06-07;Firma de Documentos;Cucuta;11
2021-06-07;Mensajeria;Cucuta;72
2021-06-07;Mercancia;Cucuta;1361
2021-06-07;Paqueteo 3-5 Kl.;Cucuta;4138
2021-06-07;Paquetes 1-2 Kl. (ME);Cucuta;2972
2021-06-07;Radicación de Documentos;Cucuta;151
2021-06-07;Firma de Documentos;Ibague;1
2021-06-07;Mensajeria;Ibague;81
2021-06-07;Mercancia;Ibague;945
2021-06-07;Mercancia Aerea;Ibague;1
2021-06-07;Paqueteo 3-5 Kl.;Ibague;198
2021-06-07;Paquetes 1-2 Kl. (ME);Ibague;667
2021-06-07;Radicación de Documentos;Ibague;163
2021-06-07;Firma de Documentos;Manizales;1
2021-06-07;Mensajeria;Manizales;142
2021-06-07;Mercancia;Manizales;3579
2021-06-07;Mercancia Aerea;Manizales;1
2021-06-07;Paqueteo 3-5 Kl.;Manizales;178
2021-06-07;Paquetes 1-2 Kl. (ME);Manizales;734
2021-06-07;Radicación de Documentos;Manizales;130
2021-06-07;Firma de Documentos;Medellin;91
2021-06-07;Mensajeria;Medellin;2454
2021-06-07;Mercancia;Medellin;51369
2021-06-07;Mercancia Aerea;Medellin;18
2021-06-07;Paqueteo 3-5 Kl.;Medellin;9678
2021-06-07;Paquetes 1-2 Kl. (ME);Medellin;57730
2021-06-07;Radicación de Documentos;Medellin;654
2021-06-07;Mensajeria;Neiva;100
2021-06-07;Mercancia;Neiva;638
2021-06-07;Paqueteo 3-5 Kl.;Neiva;241
2021-06-07;Paquetes 1-2 Kl. (ME);Neiva;486
2021-06-07;Radicación de Documentos;Neiva;180
2021-06-07;Mensajeria;Pasto;67
2021-06-07;Mercancia;Pasto;384
2021-06-07;Paqueteo 3-5 Kl.;Pasto;127
2021-06-07;Paquetes 1-2 Kl. (ME);Pasto;454
2021-06-07;Radicación de Documentos;Pasto;123
2021-06-07;Firma de Documentos;Pereira;11
2021-06-07;Mensajeria;Pereira;517
2021-06-07;Mercancia;Pereira;7515
2021-06-07;Paqueteo 3-5 Kl.;Pereira;645
2021-06-07;Paquetes 1-2 Kl. (ME);Pereira;2387
2021-06-07;Radicación de Documentos;Pereira;374
2021-06-07;Mensajeria;Sin Terminal;5
2021-06-07;Mercancia;Sin Terminal;19
2021-06-07;Paqueteo 3-5 Kl.;Sin Terminal;10
2021-06-07;Paquetes 1-2 Kl. (ME);Sin Terminal;112
2021-06-07;Firma de Documentos;Sincelejo;8
2021-06-07;Mensajeria;Sincelejo;293
2021-06-07;Mercancia;Sincelejo;1145
2021-06-07;Paqueteo 3-5 Kl.;Sincelejo;335
2021-06-07;Paquetes 1-2 Kl. (ME);Sincelejo;1819
2021-06-07;Radicación de Documentos;Sincelejo;235
2021-06-07;Firma de Documentos;Turbaco;14
2021-06-07;Mensajeria;Turbaco;298
2021-06-07;Mercancia;Turbaco;15761
2021-06-07;Mercancia Aerea;Turbaco;2
2021-06-07;Paqueteo 3-5 Kl.;Turbaco;492
2021-06-07;Paquetes 1-2 Kl. (ME);Turbaco;1854
2021-06-07;Radicación de Documentos;Turbaco;131
2021-06-07;Firma de Documentos;Yumbo;18
2021-06-07;Mensajeria;Yumbo;1305
2021-06-07;Mercancia;Yumbo;36121
2021-06-07;Mercancia Aerea;Yumbo;9
2021-06-07;Paqueteo 3-5 Kl.;Yumbo;3850
2021-06-07;Paquetes 1-2 Kl. (ME);Yumbo;18472
2021-06-07;Radicación de Documentos;Yumbo;686
2021-05-31;Firma de Documentos;Barranquilla;11
2021-05-31;Mensajeria;Barranquilla;872
2021-05-31;Mercancia;Barranquilla;10926
2021-05-31;Mercancia Aerea;Barranquilla;4
2021-05-31;Paqueteo 3-5 Kl.;Barranquilla;1880
2021-05-31;Paquetes 1-2 Kl. (ME);Barranquilla;7685
2021-05-31;Radicación de Documentos;Barranquilla;337
2021-05-31;Firma de Documentos;Bogota;59
2021-05-31;Mensajeria;Bogota;7355
2021-05-31;Mercancia;Bogota;96455
2021-05-31;Mercancia Aerea;Bogota;146
2021-05-31;Paqueteo 3-5 Kl.;Bogota;18781
2021-05-31;Paquetes 1-2 Kl. (ME);Bogota;62444
2021-05-31;Radicación de Documentos;Bogota;856
2021-05-31;Firma de Documentos;Bosconia;2
2021-05-31;Mensajeria;Bosconia;109
2021-05-31;Mercancia;Bosconia;612
2021-05-31;Paqueteo 3-5 Kl.;Bosconia;100
2021-05-31;Paquetes 1-2 Kl. (ME);Bosconia;420
2021-05-31;Radicación de Documentos;Bosconia;105
2021-05-31;Firma de Documentos;Bucaramanga;3
2021-05-31;Mensajeria;Bucaramanga;462
2021-05-31;Mercancia;Bucaramanga;3925
2021-05-31;Mercancia Aerea;Bucaramanga;7
2021-05-31;Paqueteo 3-5 Kl.;Bucaramanga;1083
2021-05-31;Paquetes 1-2 Kl. (ME);Bucaramanga;3616
2021-05-31;Radicación de Documentos;Bucaramanga;406
2021-05-31;Mensajeria;Cienaga;108
2021-05-31;Mercancia;Cienaga;663
2021-05-31;Paqueteo 3-5 Kl.;Cienaga;206
2021-05-31;Paquetes 1-2 Kl. (ME);Cienaga;602
2021-05-31;Radicación de Documentos;Cienaga;96
2021-05-31;Firma de Documentos;Cucuta;2
2021-05-31;Mensajeria;Cucuta;139
2021-05-31;Mercancia;Cucuta;1458
2021-05-31;Paqueteo 3-5 Kl.;Cucuta;4321
2021-05-31;Paquetes 1-2 Kl. (ME);Cucuta;2575
2021-05-31;Radicación de Documentos;Cucuta;170
2021-05-31;Firma de Documentos;Ibague;1
2021-05-31;Mensajeria;Ibague;66
2021-05-31;Mercancia;Ibague;1010
2021-05-31;Paqueteo 3-5 Kl.;Ibague;216
2021-05-31;Paquetes 1-2 Kl. (ME);Ibague;647
2021-05-31;Radicación de Documentos;Ibague;108
2021-05-31;Mensajeria;Manizales;137
2021-05-31;Mercancia;Manizales;3980
2021-05-31;Paqueteo 3-5 Kl.;Manizales;155
2021-05-31;Paquetes 1-2 Kl. (ME);Manizales;746
2021-05-31;Radicación de Documentos;Manizales;105
2021-05-31;Firma de Documentos;Medellin;81
2021-05-31;Mensajeria;Medellin;2981
2021-05-31;Mercancia;Medellin;50895
2021-05-31;Mercancia Aerea;Medellin;39
2021-05-31;Paqueteo 3-5 Kl.;Medellin;11044
2021-05-31;Paquetes 1-2 Kl. (ME);Medellin;56749
2021-05-31;Radicación de Documentos;Medellin;683
2021-05-31;Mensajeria;Neiva;131
2021-05-31;Mercancia;Neiva;709
2021-05-31;Paqueteo 3-5 Kl.;Neiva;213
2021-05-31;Paquetes 1-2 Kl. (ME);Neiva;528
2021-05-31;Radicación de Documentos;Neiva;69
2021-05-31;Firma de Documentos;Pasto;1
2021-05-31;Mensajeria;Pasto;172
2021-05-31;Mercancia;Pasto;649
2021-05-31;Paqueteo 3-5 Kl.;Pasto;207
2021-05-31;Paquetes 1-2 Kl. (ME);Pasto;987
2021-05-31;Radicación de Documentos;Pasto;106
2021-05-31;Firma de Documentos;Pereira;21
2021-05-31;Mensajeria;Pereira;585
2021-05-31;Mercancia;Pereira;8242
2021-05-31;Paqueteo 3-5 Kl.;Pereira;677
2021-05-31;Paquetes 1-2 Kl. (ME);Pereira;2486
2021-05-31;Radicación de Documentos;Pereira;395
2021-05-31;Paquetes 1-2 Kl. (ME);Sin Terminal;4
2021-05-31;Firma de Documentos;Sincelejo;7
2021-05-31;Mensajeria;Sincelejo;409
2021-05-31;Mercancia;Sincelejo;1262
2021-05-31;Paqueteo 3-5 Kl.;Sincelejo;405
2021-05-31;Paquetes 1-2 Kl. (ME);Sincelejo;1928
2021-05-31;Radicación de Documentos;Sincelejo;225
2021-05-31;Firma de Documentos;Turbaco;12
2021-05-31;Mensajeria;Turbaco;324
2021-05-31;Mercancia;Turbaco;25327
2021-05-31;Mercancia Aerea;Turbaco;5
2021-05-31;Paqueteo 3-5 Kl.;Turbaco;552
2021-05-31;Paquetes 1-2 Kl. (ME);Turbaco;1961
2021-05-31;Radicación de Documentos;Turbaco;155
2021-05-31;Firma de Documentos;Yumbo;13
2021-05-31;Mensajeria;Yumbo;1490
2021-05-31;Mercancia;Yumbo;41659
2021-05-31;Mercancia Aerea;Yumbo;8
2021-05-31;Paqueteo 3-5 Kl.;Yumbo;4769
2021-05-31;Paquetes 1-2 Kl. (ME);Yumbo;19313
2021-05-31;Radicación de Documentos;Yumbo;592
2021-05-24;Firma de Documentos;Barranquilla;5
2021-05-24;Mensajeria;Barranquilla;527
2021-05-24;Mercancia;Barranquilla;11077
2021-05-24;Mercancia Aerea;Barranquilla;3
2021-05-24;Paqueteo 3-5 Kl.;Barranquilla;1683
2021-05-24;Paquetes 1-2 Kl. (ME);Barranquilla;7902
2021-05-24;Radicación de Documentos;Barranquilla;288
2021-05-24;Firma de Documentos;Bogota;74
2021-05-24;Mensajeria;Bogota;7862
2021-05-24;Mercancia;Bogota;94596
2021-05-24;Mercancia Aerea;Bogota;110
2021-05-24;Paqueteo 3-5 Kl.;Bogota;18884
2021-05-24;Paquetes 1-2 Kl. (ME);Bogota;62505
2021-05-24;Radicación de Documentos;Bogota;1077
2021-05-24;Mensajeria;Bosconia;130
2021-05-24;Mercancia;Bosconia;461
2021-05-24;Paqueteo 3-5 Kl.;Bosconia;121
2021-05-24;Paquetes 1-2 Kl. (ME);Bosconia;518
2021-05-24;Radicación de Documentos;Bosconia;81
2021-05-24;Firma de Documentos;Bucaramanga;52
2021-05-24;Mensajeria;Bucaramanga;372
2021-05-24;Mercancia;Bucaramanga;3499
2021-05-24;Paqueteo 3-5 Kl.;Bucaramanga;1100
2021-05-24;Paquetes 1-2 Kl. (ME);Bucaramanga;3513
2021-05-24;Radicación de Documentos;Bucaramanga;355
2021-05-24;Mensajeria;Cienaga;118
2021-05-24;Mercancia;Cienaga;579
2021-05-24;Paqueteo 3-5 Kl.;Cienaga;191
2021-05-24;Paquetes 1-2 Kl. (ME);Cienaga;697
2021-05-24;Radicación de Documentos;Cienaga;96
2021-05-24;Firma de Documentos;Cucuta;2
2021-05-24;Mensajeria;Cucuta;102
2021-05-24;Mercancia;Cucuta;1310
2021-05-24;Paqueteo 3-5 Kl.;Cucuta;3266
2021-05-24;Paquetes 1-2 Kl. (ME);Cucuta;2132
2021-05-24;Radicación de Documentos;Cucuta;173
2021-05-24;Firma de Documentos;Ibague;1
2021-05-24;Mensajeria;Ibague;79
2021-05-24;Mercancia;Ibague;1168
2021-05-24;Mercancia Aerea;Ibague;3
2021-05-24;Paqueteo 3-5 Kl.;Ibague;232
2021-05-24;Paquetes 1-2 Kl. (ME);Ibague;772
2021-05-24;Radicación de Documentos;Ibague;150
2021-05-24;Mensajeria;Manizales;163
2021-05-24;Mercancia;Manizales;3830
2021-05-24;Paqueteo 3-5 Kl.;Manizales;191
2021-05-24;Paquetes 1-2 Kl. (ME);Manizales;820
2021-05-24;Radicación de Documentos;Manizales;119
2021-05-24;Firma de Documentos;Medellin;83
2021-05-24;Mensajeria;Medellin;2739
