Week;Terminal_origen;productoMaestro;recogidas
2021-06-30;Sin Terminal;Paquetes 1-2;1
2021-06-30;Sincelejo;Paquetes 1-2;398
2021-06-30;Sincelejo;Mercancia;269
2021-06-30;Sincelejo;Mensajeria;163
2021-06-30;Sincelejo;Paqueteo 3-5;78
2021-06-30;Turbaco;Mercancia;1627
2021-06-30;Turbaco;Paquetes 1-2;104
2021-06-30;Turbaco;Mensajeria;37
2021-06-30;Turbaco;Paqueteo 3-5;26
2021-06-30;Yumbo;Mercancia;2185
2021-06-30;Yumbo;Paquetes 1-2;750
2021-06-30;Yumbo;Mensajeria;170
2021-06-30;Yumbo;Paqueteo 3-5;160
2021-06-29;Barranquilla;Mercancia;2051
2021-06-29;Barranquilla;Paquetes 1-2;1345
2021-06-29;Barranquilla;Paqueteo 3-5;357
2021-06-29;Barranquilla;Mensajeria;182
2021-06-29;Bogota;Mercancia;20417
2021-06-29;Bogota;Paquetes 1-2;14096
2021-06-29;Bogota;Paqueteo 3-5;3964
2021-06-29;Bogota;Mensajeria;1164
2021-06-29;Bosconia;Mercancia;97
2021-06-29;Bosconia;Paquetes 1-2;95
2021-06-29;Bosconia;Mensajeria;62
2021-06-29;Bosconia;Paqueteo 3-5;19
2021-06-29;Bucaramanga;Paquetes 1-2;805
2021-06-29;Bucaramanga;Mercancia;740
2021-06-29;Bucaramanga;Mensajeria;192
2021-06-29;Bucaramanga;Paqueteo 3-5;189
2021-06-29;Cienaga;Mercancia;108
2021-06-29;Cienaga;Paquetes 1-2;82
2021-06-29;Cienaga;Paqueteo 3-5;33
2021-06-29;Cienaga;Mensajeria;26
2021-06-29;Cucuta;Paqueteo 3-5;1216
2021-06-29;Cucuta;Paquetes 1-2;680
2021-06-29;Cucuta;Mercancia;479
2021-06-29;Cucuta;Mensajeria;54
2021-06-29;Ibague;Mercancia;311
2021-06-29;Ibague;Paquetes 1-2;167
2021-06-29;Ibague;Mensajeria;48
2021-06-29;Ibague;Paqueteo 3-5;41
2021-06-29;Manizales;Mercancia;802
2021-06-29;Manizales;Paquetes 1-2;182
2021-06-29;Manizales;Paqueteo 3-5;53
2021-06-29;Manizales;Mensajeria;32
2021-06-29;Medellin;Paquetes 1-2;11786
2021-06-29;Medellin;Mercancia;11420
2021-06-29;Medellin;Paqueteo 3-5;2200
2021-06-29;Medellin;Mensajeria;748
2021-06-29;Neiva;Mercancia;199
2021-06-29;Neiva;Paquetes 1-2;127
2021-06-29;Neiva;Mensajeria;60
2021-06-29;Neiva;Paqueteo 3-5;52
2021-06-29;Pasto;Paquetes 1-2;141
2021-06-29;Pasto;Mercancia;132
2021-06-29;Pasto;Paqueteo 3-5;44
2021-06-29;Pasto;Mensajeria;43
2021-06-29;Pereira;Mercancia;1523
2021-06-29;Pereira;Paquetes 1-2;623
2021-06-29;Pereira;Mensajeria;160
2021-06-29;Pereira;Paqueteo 3-5;144
2021-06-29;Sin Terminal;Paquetes 1-2;5
2021-06-29;Sin Terminal;Paqueteo 3-5;2
2021-06-29;Sincelejo;Paquetes 1-2;424
2021-06-29;Sincelejo;Mercancia;318
2021-06-29;Sincelejo;Mensajeria;130
2021-06-29;Sincelejo;Paqueteo 3-5;65
2021-06-29;Turbaco;Mercancia;2420
2021-06-29;Turbaco;Paquetes 1-2;495
2021-06-29;Turbaco;Paqueteo 3-5;120
2021-06-29;Turbaco;Mensajeria;116
2021-06-29;Yumbo;Mercancia;5575
2021-06-29;Yumbo;Paquetes 1-2;3805
2021-06-29;Yumbo;Paqueteo 3-5;816
2021-06-29;Yumbo;Mensajeria;411
2021-06-28;Barranquilla;Mercancia;1561
2021-06-28;Barranquilla;Paquetes 1-2;1491
2021-06-28;Barranquilla;Paqueteo 3-5;370
2021-06-28;Barranquilla;Mensajeria;179
2021-06-28;Bogota;Mercancia;20599
2021-06-28;Bogota;Paquetes 1-2;14634
2021-06-28;Bogota;Paqueteo 3-5;4081
2021-06-28;Bogota;Mensajeria;1583
2021-06-28;Bosconia;Paquetes 1-2;106
2021-06-28;Bosconia;Mercancia;39
2021-06-28;Bosconia;Mensajeria;22
2021-06-28;Bosconia;Paqueteo 3-5;20
2021-06-28;Bucaramanga;Paquetes 1-2;810
2021-06-28;Bucaramanga;Mercancia;616
2021-06-28;Bucaramanga;Paqueteo 3-5;207
2021-06-28;Bucaramanga;Mensajeria;176
2021-06-28;Cienaga;Paquetes 1-2;128
2021-06-28;Cienaga;Mercancia;89
2021-06-28;Cienaga;Mensajeria;44
2021-06-28;Cienaga;Paqueteo 3-5;22
2021-06-28;Cucuta;Paqueteo 3-5;860
2021-06-28;Cucuta;Paquetes 1-2;772
2021-06-28;Cucuta;Mercancia;291
2021-06-28;Cucuta;Mensajeria;43
2021-06-28;Ibague;Mercancia;129
2021-06-28;Ibague;Paquetes 1-2;26
2021-06-28;Ibague;Mensajeria;22
2021-06-28;Ibague;Paqueteo 3-5;15
2021-06-28;Manizales;Mercancia;640
2021-06-28;Manizales;Paquetes 1-2;156
2021-06-28;Manizales;Mensajeria;50
2021-06-28;Manizales;Paqueteo 3-5;30
2021-06-28;Medellin;Paquetes 1-2;13350
2021-06-28;Medellin;Mercancia;11263
2021-06-28;Medellin;Paqueteo 3-5;2287
2021-06-28;Medellin;Mensajeria;496
2021-06-28;Neiva;Paquetes 1-2;85
2021-06-28;Neiva;Mercancia;79
2021-06-28;Neiva;Mensajeria;24
2021-06-28;Neiva;Paqueteo 3-5;14
2021-06-28;Pasto;Paquetes 1-2;213
2021-06-28;Pasto;Mercancia;145
2021-06-28;Pasto;Mensajeria;118
2021-06-28;Pasto;Paqueteo 3-5;28
2021-06-28;Pereira;Mercancia;1148
2021-06-28;Pereira;Paquetes 1-2;546
2021-06-28;Pereira;Mensajeria;156
2021-06-28;Pereira;Paqueteo 3-5;155
2021-06-28;Sin Terminal;Mercancia;19
2021-06-28;Sin Terminal;Paquetes 1-2;12
2021-06-28;Sin Terminal;Paqueteo 3-5;9
2021-06-28;Sincelejo;Paquetes 1-2;136
2021-06-28;Sincelejo;Mercancia;132
2021-06-28;Sincelejo;Mensajeria;27
2021-06-28;Sincelejo;Paqueteo 3-5;18
2021-06-28;Turbaco;Mercancia;555
2021-06-28;Turbaco;Paquetes 1-2;287
2021-06-28;Turbaco;Mensajeria;73
2021-06-28;Turbaco;Paqueteo 3-5;69
2021-06-28;Yumbo;Mercancia;5235
2021-06-28;Yumbo;Paquetes 1-2;3673
2021-06-28;Yumbo;Paqueteo 3-5;776
2021-06-28;Yumbo;Mensajeria;382
2021-06-27;Barranquilla;Mercancia;296
2021-06-27;Barranquilla;Paquetes 1-2;185
2021-06-27;Barranquilla;Paqueteo 3-5;48
2021-06-27;Barranquilla;Mensajeria;26
2021-06-27;Bogota;Paquetes 1-2;128
2021-06-27;Bogota;Mercancia;57
2021-06-27;Bogota;Paqueteo 3-5;9
2021-06-27;Bogota;Mensajeria;7
2021-06-27;Bosconia;Paquetes 1-2;9
2021-06-27;Bosconia;Mercancia;6
2021-06-27;Bosconia;Paqueteo 3-5;6
2021-06-27;Bosconia;Mensajeria;3
2021-06-27;Bucaramanga;Paquetes 1-2;55
2021-06-27;Bucaramanga;Mercancia;44
2021-06-27;Bucaramanga;Paqueteo 3-5;7
2021-06-27;Bucaramanga;Mensajeria;3
2021-06-27;Cienaga;Mercancia;33
2021-06-27;Cienaga;Paquetes 1-2;27
2021-06-27;Cienaga;Mensajeria;1
2021-06-27;Cucuta;Paqueteo 3-5;146
2021-06-27;Cucuta;Paquetes 1-2;78
2021-06-27;Cucuta;Mercancia;46
2021-06-27;Cucuta;Mensajeria;2
2021-06-27;Ibague;Paquetes 1-2;75
2021-06-27;Ibague;Mercancia;34
2021-06-27;Ibague;Paqueteo 3-5;16
2021-06-27;Ibague;Mensajeria;9
2021-06-27;Manizales;Mercancia;89
2021-06-27;Manizales;Paquetes 1-2;14
2021-06-27;Manizales;Paqueteo 3-5;2
2021-06-27;Medellin;Paquetes 1-2;340
2021-06-27;Medellin;Mercancia;164
2021-06-27;Medellin;Paqueteo 3-5;37
2021-06-27;Medellin;Mensajeria;9
2021-06-27;Neiva;Paquetes 1-2;18
2021-06-27;Neiva;Mercancia;17
2021-06-27;Neiva;Paqueteo 3-5;10
2021-06-27;Pasto;Paquetes 1-2;17
2021-06-27;Pasto;Paqueteo 3-5;11
2021-06-27;Pasto;Mercancia;3
2021-06-27;Pasto;Mensajeria;1
2021-06-27;Pereira;Mercancia;134
2021-06-27;Pereira;Paquetes 1-2;41
2021-06-27;Pereira;Paqueteo 3-5;9
2021-06-27;Pereira;Mensajeria;4
2021-06-27;Sincelejo;Paquetes 1-2;155
2021-06-27;Sincelejo;Mercancia;115
2021-06-27;Sincelejo;Mensajeria;34
2021-06-27;Sincelejo;Paqueteo 3-5;23
2021-06-27;Turbaco;Mercancia;230
2021-06-27;Turbaco;Paquetes 1-2;75
2021-06-27;Turbaco;Mensajeria;21
2021-06-27;Turbaco;Paqueteo 3-5;16
2021-06-27;Yumbo;Mercancia;360
2021-06-27;Yumbo;Paquetes 1-2;144
2021-06-27;Yumbo;Paqueteo 3-5;95
2021-06-27;Yumbo;Mensajeria;2
2021-06-26;Barranquilla;Mercancia;2291
2021-06-26;Barranquilla;Paquetes 1-2;655
2021-06-26;Barranquilla;Paqueteo 3-5;167
2021-06-26;Barranquilla;Mensajeria;115
2021-06-26;Bogota;Mercancia;11622
2021-06-26;Bogota;Paquetes 1-2;8214
2021-06-26;Bogota;Paqueteo 3-5;2165
2021-06-26;Bogota;Mensajeria;299
2021-06-26;Bosconia;Paquetes 1-2;39
2021-06-26;Bosconia;Mensajeria;37
2021-06-26;Bosconia;Mercancia;29
2021-06-26;Bosconia;Paqueteo 3-5;11
2021-06-26;Bucaramanga;Mercancia;419
2021-06-26;Bucaramanga;Paquetes 1-2;360
2021-06-26;Bucaramanga;Paqueteo 3-5;117
2021-06-26;Bucaramanga;Mensajeria;83
2021-06-26;Cienaga;Mercancia;129
2021-06-26;Cienaga;Paquetes 1-2;97
2021-06-26;Cienaga;Mensajeria;37
2021-06-26;Cienaga;Paqueteo 3-5;36
2021-06-26;Cucuta;Paqueteo 3-5;931
2021-06-26;Cucuta;Paquetes 1-2;509
2021-06-26;Cucuta;Mercancia;261
2021-06-26;Cucuta;Mensajeria;37
2021-06-26;Ibague;Mercancia;281
2021-06-26;Ibague;Paquetes 1-2;222
2021-06-26;Ibague;Paqueteo 3-5;73
2021-06-26;Ibague;Mensajeria;50
2021-06-26;Manizales;Mercancia;575
2021-06-26;Manizales;Paquetes 1-2;96
2021-06-26;Manizales;Mensajeria;31
2021-06-26;Manizales;Paqueteo 3-5;25
2021-06-26;Medellin;Mercancia;7700
2021-06-26;Medellin;Paquetes 1-2;7205
2021-06-26;Medellin;Paqueteo 3-5;1456
2021-06-26;Medellin;Mensajeria;340
2021-06-26;Neiva;Paquetes 1-2;136
2021-06-26;Neiva;Mercancia;102
2021-06-26;Neiva;Mensajeria;43
2021-06-26;Neiva;Paqueteo 3-5;42
2021-06-26;Pasto;Mercancia;107
2021-06-26;Pasto;Paquetes 1-2;56
2021-06-26;Pasto;Mensajeria;14
2021-06-26;Pasto;Paqueteo 3-5;14
2021-06-26;Pereira;Mercancia;713
2021-06-26;Pereira;Paquetes 1-2;334
2021-06-26;Pereira;Paqueteo 3-5;95
2021-06-26;Pereira;Mensajeria;80
2021-06-26;Sin Terminal;Paquetes 1-2;4
2021-06-26;Sincelejo;Paquetes 1-2;296
2021-06-26;Sincelejo;Mercancia;138
2021-06-26;Sincelejo;Mensajeria;112
2021-06-26;Sincelejo;Paqueteo 3-5;32
2021-06-26;Turbaco;Mercancia;676
2021-06-26;Turbaco;Paquetes 1-2;245
2021-06-26;Turbaco;Paqueteo 3-5;73
2021-06-26;Turbaco;Mensajeria;65
2021-06-26;Yumbo;Mercancia;3240
2021-06-26;Yumbo;Paquetes 1-2;2491
2021-06-26;Yumbo;Paqueteo 3-5;500
2021-06-26;Yumbo;Mensajeria;317
2021-06-25;Barranquilla;Mercancia;1933
2021-06-25;Barranquilla;Paquetes 1-2;1466
2021-06-25;Barranquilla;Paqueteo 3-5;357
2021-06-25;Barranquilla;Mensajeria;202
2021-06-25;Bogota;Mercancia;20742
2021-06-25;Bogota;Paquetes 1-2;13606
2021-06-25;Bogota;Paqueteo 3-5;4187
2021-06-25;Bogota;Mensajeria;1101
2021-06-25;Bosconia;Paquetes 1-2;153
2021-06-25;Bosconia;Mercancia;117
2021-06-25;Bosconia;Mensajeria;43
2021-06-25;Bosconia;Paqueteo 3-5;30
2021-06-25;Bucaramanga;Paquetes 1-2;877
2021-06-25;Bucaramanga;Mercancia;649
2021-06-25;Bucaramanga;Paqueteo 3-5;195
2021-06-25;Bucaramanga;Mensajeria;110
2021-06-25;Cienaga;Paquetes 1-2;103
2021-06-25;Cienaga;Mercancia;80
2021-06-25;Cienaga;Mensajeria;24
2021-06-25;Cienaga;Paqueteo 3-5;21
2021-06-25;Cucuta;Paqueteo 3-5;632
2021-06-25;Cucuta;Paquetes 1-2;477
2021-06-25;Cucuta;Mercancia;177
2021-06-25;Cucuta;Mensajeria;83
2021-06-25;Ibague;Paquetes 1-2;148
2021-06-25;Ibague;Mercancia;122
2021-06-25;Ibague;Mensajeria;64
2021-06-25;Ibague;Paqueteo 3-5;26
2021-06-25;Manizales;Mercancia;677
2021-06-25;Manizales;Paquetes 1-2;141
2021-06-25;Manizales;Mensajeria;65
2021-06-25;Manizales;Paqueteo 3-5;26
2021-06-25;Medellin;Paquetes 1-2;12391
2021-06-25;Medellin;Mercancia;10700
2021-06-25;Medellin;Paqueteo 3-5;2320
2021-06-25;Medellin;Mensajeria;919
2021-06-25;Neiva;Paquetes 1-2;159
2021-06-25;Neiva;Mercancia;135
2021-06-25;Neiva;Mensajeria;48
2021-06-25;Neiva;Paqueteo 3-5;41
2021-06-25;Pasto;Paquetes 1-2;166
2021-06-25;Pasto;Mercancia;144
2021-06-25;Pasto;Mensajeria;78
2021-06-25;Pasto;Paqueteo 3-5;43
2021-06-25;Pereira;Mercancia;1372
2021-06-25;Pereira;Paquetes 1-2;516
2021-06-25;Pereira;Mensajeria;173
2021-06-25;Pereira;Paqueteo 3-5;153
2021-06-25;Sin Terminal;Paquetes 1-2;9
2021-06-25;Sin Terminal;Mercancia;3
2021-06-25;Sin Terminal;Paqueteo 3-5;3
2021-06-25;Sin Terminal;Mensajeria;1
2021-06-25;Sincelejo;Paquetes 1-2;518
2021-06-25;Sincelejo;Mercancia;358
2021-06-25;Sincelejo;Mensajeria;131
2021-06-25;Sincelejo;Paqueteo 3-5;78
2021-06-25;Turbaco;Mercancia;655
2021-06-25;Turbaco;Paquetes 1-2;332
2021-06-25;Turbaco;Mensajeria;88
2021-06-25;Turbaco;Paqueteo 3-5;78
2021-06-25;Yumbo;Mercancia;6228
2021-06-25;Yumbo;Paquetes 1-2;3845
2021-06-25;Yumbo;Paqueteo 3-5;654
2021-06-25;Yumbo;Mensajeria;468
2021-06-24;Barranquilla;Mercancia;2272
2021-06-24;Barranquilla;Paquetes 1-2;1417
2021-06-24;Barranquilla;Paqueteo 3-5;393
2021-06-24;Barranquilla;Mensajeria;259
2021-06-24;Bogota;Mercancia;19834
2021-06-24;Bogota;Paquetes 1-2;13825
2021-06-24;Bogota;Paqueteo 3-5;3618
2021-06-24;Bogota;Mensajeria;1115
2021-06-24;Bosconia;Mercancia;71
2021-06-24;Bosconia;Mensajeria;42
2021-06-24;Bosconia;Paquetes 1-2;42
2021-06-24;Bosconia;Paqueteo 3-5;23
2021-06-24;Bucaramanga;Paquetes 1-2;760
2021-06-24;Bucaramanga;Mercancia;589
2021-06-24;Bucaramanga;Paqueteo 3-5;203
2021-06-24;Bucaramanga;Mensajeria;145
2021-06-24;Cienaga;Mercancia;143
2021-06-24;Cienaga;Paquetes 1-2;138
2021-06-24;Cienaga;Mensajeria;49
2021-06-24;Cienaga;Paqueteo 3-5;27
2021-06-24;Cucuta;Paqueteo 3-5;702
2021-06-24;Cucuta;Paquetes 1-2;439
2021-06-24;Cucuta;Mercancia;235
2021-06-24;Cucuta;Mensajeria;39
2021-06-24;Ibague;Mercancia;98
2021-06-24;Ibague;Paquetes 1-2;72
2021-06-24;Ibague;Paqueteo 3-5;39
2021-06-24;Ibague;Mensajeria;5
2021-06-24;Manizales;Mercancia;544
2021-06-24;Manizales;Paquetes 1-2;187
2021-06-24;Manizales;Mensajeria;55
2021-06-24;Manizales;Paqueteo 3-5;30
2021-06-24;Medellin;Paquetes 1-2;15911
2021-06-24;Medellin;Mercancia;11202
2021-06-24;Medellin;Paqueteo 3-5;2533
2021-06-24;Medellin;Mensajeria;739
2021-06-24;Neiva;Mercancia;95
2021-06-24;Neiva;Paquetes 1-2;86
2021-06-24;Neiva;Mensajeria;48
2021-06-24;Neiva;Paqueteo 3-5;21
2021-06-24;Pasto;Paquetes 1-2;254
2021-06-24;Pasto;Mercancia;164
2021-06-24;Pasto;Mensajeria;95
2021-06-24;Pasto;Paqueteo 3-5;42
2021-06-24;Pereira;Mercancia;2293
2021-06-24;Pereira;Paquetes 1-2;502
2021-06-24;Pereira;Mensajeria;191
2021-06-24;Pereira;Paqueteo 3-5;163
2021-06-24;Sin Terminal;Paquetes 1-2;5
2021-06-24;Sin Terminal;Paqueteo 3-5;4
2021-06-24;Sin Terminal;Mercancia;3
2021-06-24;Sincelejo;Paquetes 1-2;329
2021-06-24;Sincelejo;Mercancia;239
2021-06-24;Sincelejo;Paqueteo 3-5;84
2021-06-24;Sincelejo;Mensajeria;78
2021-06-24;Turbaco;Mercancia;526
2021-06-24;Turbaco;Paquetes 1-2;349
2021-06-24;Turbaco;Paqueteo 3-5;112
2021-06-24;Turbaco;Mensajeria;69
2021-06-24;Yumbo;Mercancia;7106
2021-06-24;Yumbo;Paquetes 1-2;3857
2021-06-24;Yumbo;Paqueteo 3-5;838
2021-06-24;Yumbo;Mensajeria;491
2021-06-23;Barranquilla;Mercancia;2072
2021-06-23;Barranquilla;Paquetes 1-2;1590
2021-06-23;Barranquilla;Paqueteo 3-5;316
2021-06-23;Barranquilla;Mensajeria;315
2021-06-23;Bogota;Mercancia;20103
2021-06-23;Bogota;Paquetes 1-2;13374
2021-06-23;Bogota;Paqueteo 3-5;4292
2021-06-23;Bogota;Mensajeria;1353
2021-06-23;Bosconia;Paquetes 1-2;121
2021-06-23;Bosconia;Mercancia;108
2021-06-23;Bosconia;Mensajeria;46
2021-06-23;Bosconia;Paqueteo 3-5;33
2021-06-23;Bucaramanga;Paquetes 1-2;749
2021-06-23;Bucaramanga;Mercancia;665
2021-06-23;Bucaramanga;Paqueteo 3-5;210
2021-06-23;Bucaramanga;Mensajeria;200
2021-06-23;Cienaga;Paquetes 1-2;150
2021-06-23;Cienaga;Mercancia;142
2021-06-23;Cienaga;Mensajeria;38
2021-06-23;Cienaga;Paqueteo 3-5;32
2021-06-23;Cucuta;Paqueteo 3-5;828
2021-06-23;Cucuta;Paquetes 1-2;514
2021-06-23;Cucuta;Mercancia;247
2021-06-23;Cucuta;Mensajeria;48
2021-06-23;Ibague;Mercancia;176
2021-06-23;Ibague;Paquetes 1-2;167
2021-06-23;Ibague;Mensajeria;77
2021-06-23;Ibague;Paqueteo 3-5;30
2021-06-23;Manizales;Mercancia;569
2021-06-23;Manizales;Paquetes 1-2;160
2021-06-23;Manizales;Mensajeria;76
2021-06-23;Manizales;Paqueteo 3-5;28
2021-06-23;Medellin;Paquetes 1-2;13450
2021-06-23;Medellin;Mercancia;11048
2021-06-23;Medellin;Paqueteo 3-5;2112
2021-06-23;Medellin;Mensajeria;733
2021-06-23;Neiva;Paquetes 1-2;238
2021-06-23;Neiva;Mercancia;184
2021-06-23;Neiva;Mensajeria;60
2021-06-23;Neiva;Paqueteo 3-5;51
2021-06-23;Pasto;Paquetes 1-2;187
2021-06-23;Pasto;Mercancia;113
2021-06-23;Pasto;Paqueteo 3-5;43
2021-06-23;Pasto;Mensajeria;37
2021-06-23;Pereira;Mercancia;1271
2021-06-23;Pereira;Paquetes 1-2;530
2021-06-23;Pereira;Paqueteo 3-5;210
2021-06-23;Pereira;Mensajeria;205
2021-06-23;Sincelejo;Paquetes 1-2;476
2021-06-23;Sincelejo;Mercancia;359
2021-06-23;Sincelejo;Mensajeria;106
2021-06-23;Sincelejo;Paqueteo 3-5;95
2021-06-23;Turbaco;Mercancia;649
2021-06-23;Turbaco;Paquetes 1-2;452
2021-06-23;Turbaco;Paqueteo 3-5;107
2021-06-23;Turbaco;Mensajeria;89
2021-06-23;Yumbo;Mercancia;6140
2021-06-23;Yumbo;Paquetes 1-2;3389
2021-06-23;Yumbo;Paqueteo 3-5;816
2021-06-23;Yumbo;Mensajeria;450
2021-06-22;Barranquilla;Mercancia;1955
2021-06-22;Barranquilla;Paquetes 1-2;1387
2021-06-22;Barranquilla;Mensajeria;334
2021-06-22;Barranquilla;Paqueteo 3-5;322
2021-06-22;Bogota;Mercancia;21662
2021-06-22;Bogota;Paquetes 1-2;14318
2021-06-22;Bogota;Paqueteo 3-5;4377
2021-06-22;Bogota;Mensajeria;1422
2021-06-22;Bosconia;Paquetes 1-2;35
2021-06-22;Bosconia;Mensajeria;23
2021-06-22;Bosconia;Mercancia;20
2021-06-22;Bosconia;Paqueteo 3-5;14
2021-06-22;Bucaramanga;Mercancia;663
2021-06-22;Bucaramanga;Paquetes 1-2;659
2021-06-22;Bucaramanga;Paqueteo 3-5;200
2021-06-22;Bucaramanga;Mensajeria;135
2021-06-22;Cienaga;Mercancia;123
2021-06-22;Cienaga;Paquetes 1-2;104
2021-06-22;Cienaga;Mensajeria;60
2021-06-22;Cienaga;Paqueteo 3-5;41
2021-06-22;Cucuta;Paqueteo 3-5;1209
2021-06-22;Cucuta;Paquetes 1-2;609
2021-06-22;Cucuta;Mercancia;322
2021-06-22;Cucuta;Mensajeria;56
2021-06-22;Ibague;Paquetes 1-2;255
2021-06-22;Ibague;Mercancia;251
2021-06-22;Ibague;Mensajeria;74
2021-06-22;Ibague;Paqueteo 3-5;70
2021-06-22;Manizales;Mercancia;1005
2021-06-22;Manizales;Paquetes 1-2;157
2021-06-22;Manizales;Mensajeria;49
2021-06-22;Manizales;Paqueteo 3-5;33
2021-06-22;Medellin;Paquetes 1-2;17371
2021-06-22;Medellin;Mercancia;10982
2021-06-22;Medellin;Paqueteo 3-5;2459
2021-06-22;Medellin;Mensajeria;644
2021-06-22;Neiva;Paquetes 1-2;118
2021-06-22;Neiva;Mercancia;89
2021-06-22;Neiva;Paqueteo 3-5;48
2021-06-22;Neiva;Mensajeria;44
2021-06-22;Pasto;Mercancia;142
2021-06-22;Pasto;Mensajeria;125
2021-06-22;Pasto;Paquetes 1-2;106
2021-06-22;Pasto;Paqueteo 3-5;53
2021-06-22;Pereira;Mercancia;1440
2021-06-22;Pereira;Paquetes 1-2;622
2021-06-22;Pereira;Paqueteo 3-5;155
2021-06-22;Pereira;Mensajeria;151
2021-06-22;Sincelejo;Paquetes 1-2;293
2021-06-22;Sincelejo;Mercancia;187
2021-06-22;Sincelejo;Mensajeria;109
2021-06-22;Sincelejo;Paqueteo 3-5;55
2021-06-22;Turbaco;Mercancia;1349
2021-06-22;Turbaco;Paquetes 1-2;349
2021-06-22;Turbaco;Paqueteo 3-5;102
2021-06-22;Turbaco;Mensajeria;87
2021-06-22;Yumbo;Mercancia;6869
2021-06-22;Yumbo;Paquetes 1-2;3483
2021-06-22;Yumbo;Paqueteo 3-5;889
2021-06-22;Yumbo;Mensajeria;473
2021-06-21;Barranquilla;Paquetes 1-2;1753
2021-06-21;Barranquilla;Mercancia;1669
2021-06-21;Barranquilla;Paqueteo 3-5;374
2021-06-21;Barranquilla;Mensajeria;148
2021-06-21;Bogota;Mercancia;20535
2021-06-21;Bogota;Paquetes 1-2;15236
2021-06-21;Bogota;Paqueteo 3-5;4665
2021-06-21;Bogota;Mensajeria;1606
2021-06-21;Bosconia;Mercancia;55
2021-06-21;Bosconia;Paquetes 1-2;52
2021-06-21;Bosconia;Mensajeria;17
2021-06-21;Bosconia;Paqueteo 3-5;7
2021-06-21;Bucaramanga;Paquetes 1-2;805
2021-06-21;Bucaramanga;Mercancia;708
2021-06-21;Bucaramanga;Paqueteo 3-5;259
2021-06-21;Bucaramanga;Mensajeria;219
2021-06-21;Cienaga;Paquetes 1-2;93
2021-06-21;Cienaga;Mercancia;69
2021-06-21;Cienaga;Paqueteo 3-5;23
2021-06-21;Cienaga;Mensajeria;15
2021-06-21;Cucuta;Paquetes 1-2;680
2021-06-21;Cucuta;Paqueteo 3-5;630
2021-06-21;Cucuta;Mercancia;218
2021-06-21;Cucuta;Mensajeria;51
2021-06-21;Ibague;Mercancia;133
2021-06-21;Ibague;Paquetes 1-2;70
2021-06-21;Ibague;Paqueteo 3-5;44
2021-06-21;Ibague;Mensajeria;4
2021-06-21;Manizales;Mercancia;743
2021-06-21;Manizales;Paquetes 1-2;169
2021-06-21;Manizales;Mensajeria;64
2021-06-21;Manizales;Paqueteo 3-5;50
2021-06-21;Medellin;Paquetes 1-2;17088
2021-06-21;Medellin;Mercancia;11255
2021-06-21;Medellin;Paqueteo 3-5;2448
2021-06-21;Medellin;Mensajeria;640
2021-06-21;Neiva;Mercancia;144
2021-06-21;Neiva;Paquetes 1-2;86
2021-06-21;Neiva;Mensajeria;59
2021-06-21;Neiva;Paqueteo 3-5;48
2021-06-21;Pasto;Mercancia;82
