Week;Terminal_origen;productoMaestro;recogidas
2021-05-17;Ibague;Paquetes 1-2;570
2021-05-17;Ibague;Mensajeria;218
2021-05-17;Ibague;Paqueteo 3-5;167
2021-05-17;Manizales;Mercancia;2947
2021-05-17;Manizales;Paquetes 1-2;752
2021-05-17;Manizales;Mensajeria;293
2021-05-17;Manizales;Paqueteo 3-5;173
2021-05-17;Medellin;Paquetes 1-2;57954
2021-05-17;Medellin;Mercancia;47916
2021-05-17;Medellin;Paqueteo 3-5;9279
2021-05-17;Medellin;Mensajeria;3651
2021-05-17;Neiva;Mercancia;900
2021-05-17;Neiva;Paquetes 1-2;286
2021-05-17;Neiva;Mensajeria;206
2021-05-17;Neiva;Paqueteo 3-5;104
2021-05-17;Pasto;Paquetes 1-2;98
2021-05-17;Pasto;Mercancia;20
2021-05-17;Pasto;Mensajeria;19
2021-05-17;Pasto;Paqueteo 3-5;18
2021-05-17;Pereira;Mercancia;6333
2021-05-17;Pereira;Paquetes 1-2;2281
2021-05-17;Pereira;Mensajeria;788
2021-05-17;Pereira;Paqueteo 3-5;462
2021-05-17;Sin Terminal;Paquetes 1-2;2
2021-05-17;Sincelejo;Paquetes 1-2;1605
2021-05-17;Sincelejo;Mercancia;1015
2021-05-17;Sincelejo;Mensajeria;526
2021-05-17;Sincelejo;Paqueteo 3-5;327
2021-05-17;Turbaco;Mercancia;7160
2021-05-17;Turbaco;Paquetes 1-2;1676
2021-05-17;Turbaco;Mensajeria;452
2021-05-17;Turbaco;Paqueteo 3-5;433
2021-05-17;Yumbo;Mercancia;22074
2021-05-17;Yumbo;Paquetes 1-2;16170
2021-05-17;Yumbo;Paqueteo 3-5;3715
2021-05-17;Yumbo;Mensajeria;1201
2021-05-10;Barranquilla;Mercancia;10598
2021-05-10;Barranquilla;Paquetes 1-2;7980
2021-05-10;Barranquilla;Paqueteo 3-5;1999
2021-05-10;Barranquilla;Mensajeria;977
2021-05-10;Bogota;Mercancia;83292
2021-05-10;Bogota;Paquetes 1-2;59826
2021-05-10;Bogota;Paqueteo 3-5;19676
2021-05-10;Bogota;Mensajeria;6543
2021-05-10;Bosconia;Paquetes 1-2;503
2021-05-10;Bosconia;Mercancia;338
2021-05-10;Bosconia;Mensajeria;164
2021-05-10;Bosconia;Paqueteo 3-5;162
2021-05-10;Bucaramanga;Mercancia;3967
2021-05-10;Bucaramanga;Paquetes 1-2;3372
2021-05-10;Bucaramanga;Paqueteo 3-5;1105
2021-05-10;Bucaramanga;Mensajeria;809
2021-05-10;Cienaga;Paquetes 1-2;607
2021-05-10;Cienaga;Mercancia;408
2021-05-10;Cienaga;Paqueteo 3-5;224
2021-05-10;Cienaga;Mensajeria;200
2021-05-10;Cucuta;Paqueteo 3-5;2930
2021-05-10;Cucuta;Paquetes 1-2;1708
2021-05-10;Cucuta;Mercancia;1345
2021-05-10;Cucuta;Mensajeria;283
2021-05-10;Ibague;Mercancia;931
2021-05-10;Ibague;Paquetes 1-2;579
2021-05-10;Ibague;Paqueteo 3-5;261
2021-05-10;Ibague;Mensajeria;247
2021-05-10;Manizales;Mercancia;2140
2021-05-10;Manizales;Paquetes 1-2;788
2021-05-10;Manizales;Mensajeria;244
2021-05-10;Manizales;Paqueteo 3-5;187
2021-05-10;Medellin;Paquetes 1-2;53200
2021-05-10;Medellin;Mercancia;43094
2021-05-10;Medellin;Paqueteo 3-5;10754
2021-05-10;Medellin;Mensajeria;3492
2021-05-10;Neiva;Paquetes 1-2;375
2021-05-10;Neiva;Mercancia;344
2021-05-10;Neiva;Paqueteo 3-5;156
2021-05-10;Neiva;Mensajeria;127
2021-05-10;Pasto;Paquetes 1-2;107
2021-05-10;Pasto;Mercancia;98
2021-05-10;Pasto;Mensajeria;36
2021-05-10;Pasto;Paqueteo 3-5;22
2021-05-10;Pereira;Mercancia;4375
2021-05-10;Pereira;Paquetes 1-2;1971
2021-05-10;Pereira;Paqueteo 3-5;464
2021-05-10;Pereira;Mensajeria;325
2021-05-10;Sin Terminal;Mensajeria;1
2021-05-10;Sin Terminal;Paquetes 1-2;1
2021-05-10;Sincelejo;Paquetes 1-2;2169
2021-05-10;Sincelejo;Mercancia;1167
2021-05-10;Sincelejo;Mensajeria;544
2021-05-10;Sincelejo;Paqueteo 3-5;414
2021-05-10;Turbaco;Mercancia;14640
2021-05-10;Turbaco;Paquetes 1-2;1788
2021-05-10;Turbaco;Paqueteo 3-5;591
2021-05-10;Turbaco;Mensajeria;498
2021-05-10;Yumbo;Paquetes 1-2;10469
2021-05-10;Yumbo;Mercancia;10296
2021-05-10;Yumbo;Paqueteo 3-5;2655
2021-05-10;Yumbo;Mensajeria;781
2021-05-03;Barranquilla;Mercancia;9702
2021-05-03;Barranquilla;Paquetes 1-2;8709
2021-05-03;Barranquilla;Paqueteo 3-5;2159
2021-05-03;Barranquilla;Mensajeria;698
2021-05-03;Bogota;Mercancia;77138
2021-05-03;Bogota;Paquetes 1-2;61537
2021-05-03;Bogota;Paqueteo 3-5;21155
2021-05-03;Bogota;Mensajeria;5772
2021-05-03;Bosconia;Paquetes 1-2;370
2021-05-03;Bosconia;Mercancia;317
2021-05-03;Bosconia;Mensajeria;129
2021-05-03;Bosconia;Paqueteo 3-5;107
2021-05-03;Bucaramanga;Paquetes 1-2;3852
2021-05-03;Bucaramanga;Mercancia;2946
2021-05-03;Bucaramanga;Paqueteo 3-5;1122
2021-05-03;Bucaramanga;Mensajeria;670
2021-05-03;Cienaga;Paquetes 1-2;564
2021-05-03;Cienaga;Mercancia;367
2021-05-03;Cienaga;Paqueteo 3-5;191
2021-05-03;Cienaga;Mensajeria;161
2021-05-03;Cucuta;Paqueteo 3-5;3249
2021-05-03;Cucuta;Paquetes 1-2;2241
2021-05-03;Cucuta;Mercancia;1616
2021-05-03;Cucuta;Mensajeria;219
2021-05-03;Ibague;Mercancia;699
2021-05-03;Ibague;Paquetes 1-2;634
2021-05-03;Ibague;Paqueteo 3-5;265
2021-05-03;Ibague;Mensajeria;91
2021-05-03;Manizales;Mercancia;2329
2021-05-03;Manizales;Paquetes 1-2;626
2021-05-03;Manizales;Mensajeria;170
2021-05-03;Manizales;Paqueteo 3-5;146
2021-05-03;Medellin;Paquetes 1-2;69890
2021-05-03;Medellin;Mercancia;47212
2021-05-03;Medellin;Paqueteo 3-5;12449
2021-05-03;Medellin;Mensajeria;3213
2021-05-03;Neiva;Paquetes 1-2;225
2021-05-03;Neiva;Mercancia;192
2021-05-03;Neiva;Paqueteo 3-5;143
2021-05-03;Neiva;Mensajeria;89
2021-05-03;Pasto;Paquetes 1-2;163
2021-05-03;Pasto;Mercancia;158
2021-05-03;Pasto;Paqueteo 3-5;45
2021-05-03;Pasto;Mensajeria;41
2021-05-03;Pereira;Mercancia;3481
2021-05-03;Pereira;Paquetes 1-2;2447
2021-05-03;Pereira;Paqueteo 3-5;612
2021-05-03;Pereira;Mensajeria;434
2021-05-03;Sin Terminal;Paquetes 1-2;1
2021-05-03;Sincelejo;Paquetes 1-2;2462
2021-05-03;Sincelejo;Mercancia;1002
2021-05-03;Sincelejo;Mensajeria;511
2021-05-03;Sincelejo;Paqueteo 3-5;433
2021-05-03;Turbaco;Mercancia;4954
2021-05-03;Turbaco;Paquetes 1-2;1985
2021-05-03;Turbaco;Paqueteo 3-5;495
2021-05-03;Turbaco;Mensajeria;438
2021-05-03;Yumbo;Paquetes 1-2;8241
2021-05-03;Yumbo;Mercancia;7897
2021-05-03;Yumbo;Paqueteo 3-5;2111
2021-05-03;Yumbo;Mensajeria;653
2021-04-26;Barranquilla;Mercancia;9358
2021-04-26;Barranquilla;Paquetes 1-2;9270
2021-04-26;Barranquilla;Paqueteo 3-5;2123
2021-04-26;Barranquilla;Mensajeria;1071
2021-04-26;Bogota;Mercancia;84733
2021-04-26;Bogota;Paquetes 1-2;64596
2021-04-26;Bogota;Paqueteo 3-5;21142
2021-04-26;Bogota;Mensajeria;7592
2021-04-26;Bosconia;Paquetes 1-2;614
2021-04-26;Bosconia;Mercancia;409
2021-04-26;Bosconia;Mensajeria;168
2021-04-26;Bosconia;Paqueteo 3-5;125
2021-04-26;Bucaramanga;Paquetes 1-2;4023
2021-04-26;Bucaramanga;Mercancia;3330
2021-04-26;Bucaramanga;Paqueteo 3-5;929
2021-04-26;Bucaramanga;Mensajeria;749
2021-04-26;Cienaga;Paquetes 1-2;537
2021-04-26;Cienaga;Mercancia;464
2021-04-26;Cienaga;Paqueteo 3-5;168
2021-04-26;Cienaga;Mensajeria;160
2021-04-26;Cucuta;Paqueteo 3-5;4218
